Date,Monthly Value,Accumulated Value
2018-04,3,3
2018-05,3,6
2018-07,1,7
2018-11,4,11
2018-12,3,14
2019-01,1,15
2019-02,2,17
2019-03,4,21
2019-04,8,29
2019-05,3,32
2019-06,1,33
2019-07,1,34
2019-08,3,37
2019-09,4,41
2019-10,7,48
2019-11,6,54
2019-12,6,60
2020-01,7,67
2020-02,5,72
2020-03,2,74
2020-04,4,78
2020-05,2,80
2020-06,1,81
2020-07,3,84
2020-08,2,86
2020-10,2,88
2020-11,5,93
2021-02,3,96
2021-03,3,99
2021-04,2,101
2021-07,2,103
2021-12,3,106
2022-01,1,107
2022-03,4,111
2022-05,2,113
2022-06,1,114
2022-07,2,116
2022-11,1,117
2023-10,1,118
2024-10,1,119
