Date,Monthly Value,Accumulated Value
2020-05,1,1
2020-06,1,2
2020-07,1,3
2020-08,2,5
2020-09,2,7
2020-10,2,9
2020-11,5,14
2020-12,4,18
2021-01,4,22
2021-02,4,26
2021-03,5,31
2021-04,5,36
2021-05,5,41
2021-06,5,46
2021-07,5,51
2021-08,5,56
2021-09,5,61
2021-10,6,67
2021-11,6,73
2021-12,7,80
2022-01,10,90
2022-02,10,100
2022-03,10,110
2022-04,10,120
2022-05,10,130
2022-06,10,140
2022-07,10,150
2022-08,11,161
2022-09,12,173
2022-10,15,188
2022-11,15,203
2022-12,17,220
2023-01,18,238
2023-02,19,257
2023-03,20,277
2023-04,21,298
2023-05,21,319
2023-06,21,340
2023-07,21,361
2023-08,21,382
2023-09,21,403
2023-10,22,425
2023-11,24,449
2023-12,24,473
2024-01,25,498
2024-02,26,524
2024-03,27,551
2024-04,28,579
2024-05,28,607
2024-06,29,636
2024-07,29,665
2024-08,30,695
2024-09,31,726
2024-10,31,757
