Date,Monthly Value,Accumulated Value
2017-03,1,1
2017-04,1,2
2017-05,1,3
2017-06,2,5
2017-07,1,6
2017-08,1,7
2017-09,3,10
2017-10,2,12
2017-11,8,20
2017-12,3,23
2018-01,1,24
2018-02,2,26
2018-03,2,28
2018-05,1,29
2018-06,1,30
2018-08,2,32
2018-09,4,36
2018-10,1,37
2019-02,6,43
2019-03,1,44
2019-04,1,45
2019-05,2,47
2019-06,5,52
2019-07,2,54
2019-08,2,56
2019-09,3,59
2019-10,4,63
2019-11,9,72
2019-12,1,73
2020-01,1,74
2020-03,4,78
2020-04,7,85
2020-05,2,87
2020-07,3,90
2020-08,4,94
2020-09,7,101
2020-10,2,103
2020-11,17,120
2021-01,3,123
2021-03,1,124
2021-04,7,131
2021-05,2,133
2021-06,5,138
2021-08,3,141
2021-09,1,142
2021-10,2,144
2021-11,2,146
2021-12,2,148
2022-01,5,153
2022-02,4,157
2022-06,3,160
2022-07,2,162
2022-08,3,165
2022-09,5,170
2022-10,3,173
2022-11,3,176
2023-01,2,178
2023-02,7,185
2023-03,5,190
2023-04,6,196
2023-05,2,198
2023-08,6,204
2023-09,2,206
2023-10,4,210
2023-11,1,211
2023-12,2,213
2024-01,4,217
2024-02,3,220
2024-04,1,221
2024-06,1,222
2024-07,2,224
2024-08,6,230
2024-10,2,232
