Date,Monthly Value,Accumulated Value
2015-01,9,9
2015-02,9,18
2015-03,21,39
2015-04,8,47
2015-05,4,51
2015-06,3,54
2015-07,8,62
2015-08,7,69
2015-09,4,73
2015-10,2,75
2015-11,4,79
2015-12,5,84
2016-01,1,85
2016-02,2,87
2016-03,4,91
2016-04,10,101
2016-05,5,106
2016-06,3,109
2016-07,11,120
2016-08,19,139
2016-09,7,146
2016-10,4,150
2017-01,6,156
2017-02,1,157
2017-03,3,160
2017-04,6,166
2017-05,18,184
2017-06,10,194
2017-07,21,215
2017-08,28,243
2017-09,15,258
2017-10,23,281
2017-11,7,288
2017-12,12,300
2018-01,14,314
2018-02,11,325
2018-03,5,330
2018-04,10,340
2018-05,4,344
2018-06,12,356
2018-07,3,359
2018-08,20,379
2018-09,29,408
2018-10,22,430
2018-11,34,464
2018-12,16,480
2019-01,18,498
2019-02,25,523
2019-03,48,571
2019-04,54,625
2019-05,48,673
2019-06,21,694
2019-07,16,710
2019-08,33,743
2019-09,39,782
2019-10,61,843
2019-11,55,898
2019-12,36,934
2020-01,52,986
2020-02,56,1042
2020-03,45,1087
2020-04,52,1139
2020-05,37,1176
2020-06,43,1219
2020-07,42,1261
2020-08,37,1298
2020-09,52,1350
2020-10,72,1422
2020-11,32,1454
2020-12,12,1466
2021-01,27,1493
2021-02,38,1531
2021-03,38,1569
2021-04,19,1588
2021-05,26,1614
2021-06,11,1625
2021-07,11,1636
2021-08,12,1648
2021-09,18,1666
2021-10,16,1682
2021-11,17,1699
2021-12,16,1715
2022-01,6,1721
2022-02,7,1728
2022-03,8,1736
2022-04,11,1747
2022-05,11,1758
2022-06,9,1767
2022-07,7,1774
2022-08,3,1777
2022-09,9,1786
2022-10,7,1793
2022-11,9,1802
2022-12,5,1807
2023-01,13,1820
2023-02,2,1822
2023-03,5,1827
2023-04,2,1829
2023-05,3,1832
2023-07,2,1834
2024-02,1,1835
2024-05,1,1836
2024-06,2,1838
2024-08,2,1840
