Date,Monthly Value,Accumulated Value
2015-01,142,142
2015-02,430,572
2015-05,160,732
2015-06,3555,4287
2015-07,34532,38819
2015-08,230,39049
2015-09,4,39053
2015-10,243,39296
2015-11,166,39462
2015-12,16,39478
2016-02,3197,42675
2016-03,6626,49301
2016-04,6309,55610
2016-05,1944,57554
2016-06,6925,64479
2016-07,4702,69181
2016-08,5426,74607
2016-09,60,74667
2016-10,1140,75807
2016-11,1480,77287
2017-02,320,77607
2017-03,7066,84673
2017-04,-2,84671
2017-05,5,84676
2017-06,659,85335
2017-07,2158,87493
2017-08,457,87950
2017-09,5258,93208
2017-10,-2656,90552
2017-11,1606,92158
2017-12,969,93127
2018-01,363,93490
2018-02,101,93591
2018-03,2312,95903
2018-04,-1517,94386
2018-06,1743,96129
2018-07,1685,97814
2018-08,3794,101608
2018-09,11724,113332
2018-10,759,114091
2018-11,-1645,112446
2018-12,2446,114892
2019-01,1526,116418
2019-02,-2969,113449
2019-03,2283,115732
2019-04,2378,118110
2019-05,15417,133527
2019-06,-121,133406
2019-07,-20,133386
2019-08,44,133430
2019-09,656,134086
2019-10,266,134352
2019-11,-1567,132785
2020-02,9388,142173
2020-04,8872,151045
2020-05,4187,155232
2020-06,571,155803
2020-07,8307,164110
2020-08,253,164363
2020-09,-138,164225
2020-10,-27,164198
2020-11,-431,163767
2021-01,-192,163575
2021-02,132,163707
2021-03,-889,162818
2021-04,153,162971
2021-05,1080,164051
2021-06,74,164125
2021-07,73,164198
2021-08,612,164810
2021-10,13,164823
2021-11,265,165088
2021-12,-190,164898
2022-01,16,164914
2022-03,-164,164750
2022-06,784,165534
2022-08,-585,164949
2022-09,658,165607
2022-10,292,165899
2022-11,208,166107
2022-12,88,166195
2023-01,24686,190881
2023-02,6388,197269
2023-03,8,197277
2023-04,70,197347
2023-05,106,197453
2023-06,-8,197445
2023-07,44,197489
2023-08,89,197578
2023-09,-9,197569
2024-01,29,197598
2024-03,-8787,188811
2024-04,-13131,175680
2024-05,290,175970
2024-06,203,176173
2024-08,16,176189
2024-09,55,176244
2024-10,142,176386
