Date,Monthly Value,Accumulated Value
2015-02,-512,-512
2015-03,536,24
2015-04,200,224
2015-07,119,343
2015-08,-147,196
2015-10,294,490
2015-12,1679,2169
2016-01,9019,11188
2016-02,10881,22069
2016-03,16890,38959
2016-04,9300,48259
2016-05,10532,58791
2016-06,2812,61603
2016-07,4610,66213
2016-08,6286,72499
2016-09,1974,74473
2016-10,5334,79807
2016-11,45742,125549
2016-12,16097,141646
2017-01,3425,145071
2017-02,3903,148974
2017-03,870,149844
2017-04,151,149995
2017-05,14103,164098
2017-06,2598,166696
2017-07,-8119,158577
2017-08,-8878,149699
2017-09,7135,156834
2017-10,6412,163246
2017-11,13735,176981
2017-12,10680,187661
2018-01,9638,197299
2018-02,10269,207568
2018-03,29275,236843
2018-04,6693,243536
2018-05,16501,260037
2018-06,1865,261902
2018-07,8902,270804
2018-08,2852,273656
2018-09,1020,274676
2018-10,5062,279738
2018-11,9150,288888
2018-12,6387,295275
2019-01,8997,304272
2019-02,691,304963
2019-03,7038,312001
2019-04,24258,336259
2019-05,2922,339181
2019-06,91,339272
2019-07,13320,352592
2019-08,6577,359169
2019-09,5868,365037
2019-10,4071,369108
2019-11,1272,370380
2019-12,8004,378384
2020-01,5509,383893
2020-02,5587,389480
2020-03,5288,394768
2020-04,-4024,390744
2020-05,10796,401540
2020-06,1878,403418
2020-07,3539,406957
2020-08,3488,410445
2020-09,-15852,394593
2020-10,3804,398397
2020-11,3366,401763
2020-12,854,402617
2021-01,332,402949
2021-02,3834,406783
2021-03,1067,407850
2021-04,3737,411587
2021-05,226,411813
2021-06,184,411997
2021-07,-17,411980
2021-08,56,412036
2021-09,-144,411892
2021-11,8,411900
2021-12,642,412542
2022-01,864,413406
2022-02,-155,413251
2022-03,344,413595
2022-04,3388,416983
2022-05,3388,420371
2022-08,2057,422428
2022-09,80,422508
2022-10,8,422516
2022-11,-8,422508
2023-02,403,422911
2023-06,-319,422592
2023-09,312,422904
2023-10,125,423029
2023-11,109,423138
2023-12,785,423923
2024-01,-31,423892
2024-02,28,423920
2024-03,-14,423906
2024-04,192,424098
2024-05,116,424214
2024-06,12,424226
2024-08,-1062,423164
2024-09,139,423303
