Date,Monthly Value,Accumulated Value
2015-01,31,31
2015-02,32,63
2015-03,21,84
2015-04,22,106
2015-05,18,124
2015-06,21,145
2015-07,25,170
2015-08,9,179
2015-09,18,197
2015-10,19,216
2015-11,16,232
2015-12,25,257
2016-01,22,279
2016-02,23,302
2016-03,33,335
2016-04,23,358
2016-05,27,385
2016-06,22,407
2016-07,15,422
2016-08,18,440
2016-09,20,460
2016-10,14,474
2016-11,14,488
2016-12,11,499
2017-01,20,519
2017-02,26,545
2017-03,28,573
2017-04,22,595
2017-05,19,614
2017-06,39,653
2017-07,26,679
2017-08,27,706
2017-09,14,720
2017-10,15,735
2017-11,25,760
2017-12,29,789
2018-01,24,813
2018-02,15,828
2018-03,19,847
2018-04,11,858
2018-05,17,875
2018-06,16,891
2018-07,15,906
2018-08,25,931
2018-09,9,940
2018-10,17,957
2018-11,21,978
2018-12,11,989
2019-01,22,1011
2019-02,19,1030
2019-03,24,1054
2019-04,33,1087
2019-05,26,1113
2019-06,16,1129
2019-07,24,1153
2019-08,15,1168
2019-09,20,1188
2019-10,10,1198
2019-11,13,1211
2019-12,20,1231
2020-01,21,1252
2020-02,11,1263
2020-03,8,1271
2020-04,9,1280
2020-05,13,1293
2020-06,15,1308
2020-07,13,1321
2020-08,17,1338
2020-09,18,1356
2020-10,18,1374
2020-11,13,1387
2020-12,13,1400
2021-01,13,1413
2021-02,20,1433
2021-03,19,1452
2021-04,12,1464
2021-05,10,1474
2021-06,17,1491
2021-07,21,1512
2021-08,29,1541
2021-09,13,1554
2021-10,18,1572
2021-11,17,1589
2021-12,20,1609
2022-01,22,1631
2022-02,13,1644
2022-03,39,1683
2022-04,21,1704
2022-05,16,1720
2022-06,14,1734
2022-07,12,1746
2022-08,13,1759
2022-09,19,1778
2022-10,21,1799
2022-11,16,1815
2022-12,15,1830
2023-01,20,1850
2023-02,18,1868
2023-03,17,1885
2023-04,15,1900
2023-05,26,1926
2023-06,19,1945
2023-07,15,1960
2023-08,17,1977
2023-09,17,1994
2023-10,22,2016
2023-11,6,2022
2023-12,17,2039
2024-01,32,2071
2024-02,9,2080
2024-03,17,2097
2024-04,23,2120
2024-05,15,2135
2024-06,11,2146
2024-07,25,2171
2024-08,15,2186
2024-09,34,2220
2024-10,21,2241
