Date,Monthly Value,Accumulated Value
2015-01,9,9
2015-02,7,16
2015-03,8,24
2015-04,10,34
2015-05,14,48
2015-06,13,61
2015-07,7,68
2015-08,17,85
2015-09,10,95
2015-10,13,108
2015-11,14,122
2015-12,25,147
2016-01,24,171
2016-02,21,192
2016-03,10,202
2016-04,13,215
2016-05,25,240
2016-06,22,262
2016-07,18,280
2016-08,13,293
2016-09,17,310
2016-10,17,327
2016-11,13,340
2016-12,12,352
2017-01,15,367
2017-02,13,380
2017-03,24,404
2017-04,23,427
2017-05,11,438
2017-06,19,457
2017-07,24,481
2017-08,18,499
2017-09,21,520
2017-10,14,534
2017-11,21,555
2017-12,9,564
2018-01,17,581
2018-02,3,584
2018-03,16,600
2018-04,7,607
2018-05,15,622
2018-06,12,634
2018-07,5,639
2018-08,9,648
2018-09,16,664
2018-10,3,667
2018-11,8,675
2018-12,9,684
2019-01,9,693
2019-02,7,700
2019-03,5,705
2019-04,9,714
2019-05,9,723
2019-06,6,729
2019-07,7,736
2019-08,10,746
2019-09,6,752
2019-10,4,756
2019-11,5,761
2019-12,6,767
2020-01,10,777
2020-02,2,779
2020-03,3,782
2020-04,4,786
2020-05,23,809
2020-06,3,812
2020-07,9,821
2020-08,2,823
2020-09,5,828
2020-10,4,832
2020-11,11,843
2020-12,3,846
2021-01,7,853
2021-02,10,863
2021-03,4,867
2021-04,5,872
2021-05,2,874
2021-06,5,879
2021-07,4,883
2021-08,4,887
2021-09,3,890
2021-10,3,893
2021-11,2,895
2021-12,5,900
2022-01,4,904
2022-02,4,908
2022-03,3,911
2022-04,2,913
2022-05,1,914
2022-06,2,916
2022-07,1,917
2022-08,2,919
2022-09,4,923
2022-11,1,924
2022-12,3,927
2023-01,6,933
2023-02,3,936
2023-03,3,939
2023-04,8,947
2023-05,2,949
2023-06,3,952
2023-07,3,955
2023-08,1,956
2023-09,4,960
2023-10,1,961
2023-11,3,964
2023-12,1,965
2024-02,1,966
2024-03,1,967
2024-05,1,968
2024-08,1,969
2024-09,1,970
