Date,Monthly Value,Accumulated Value
2015-01,56,56
2015-02,49,105
2015-03,61,166
2015-04,44,210
2015-05,43,253
2015-06,42,295
2015-07,58,353
2015-08,53,406
2015-09,54,460
2015-10,59,519
2015-11,57,576
2015-12,134,710
2016-01,65,775
2016-02,64,839
2016-03,74,913
2016-04,49,962
2016-05,53,1015
2016-06,60,1075
2016-07,44,1119
2016-08,52,1171
2016-09,48,1219
2016-10,31,1250
2016-11,43,1293
2016-12,52,1345
2017-01,59,1404
2017-02,54,1458
2017-03,56,1514
2017-04,49,1563
2017-05,65,1628
2017-06,67,1695
2017-07,52,1747
2017-08,59,1806
2017-09,41,1847
2017-10,49,1896
2017-11,46,1942
2017-12,39,1981
2018-01,55,2036
2018-02,41,2077
2018-03,48,2125
2018-04,40,2165
2018-05,45,2210
2018-06,53,2263
2018-07,40,2303
2018-08,45,2348
2018-09,48,2396
2018-10,46,2442
2018-11,58,2500
2018-12,62,2562
2019-01,53,2615
2019-02,46,2661
2019-03,74,2735
2019-04,63,2798
2019-05,74,2872
2019-06,39,2911
2019-07,60,2971
2019-08,44,3015
2019-09,39,3054
2019-10,34,3088
2019-11,53,3141
2019-12,46,3187
2020-01,36,3223
2020-02,31,3254
2020-03,33,3287
2020-04,33,3320
2020-05,37,3357
2020-06,35,3392
2020-07,46,3438
2020-08,25,3463
2020-09,31,3494
2020-10,24,3518
2020-11,29,3547
2020-12,31,3578
2021-01,31,3609
2021-02,21,3630
2021-03,16,3646
2021-04,20,3666
2021-05,30,3696
2021-06,28,3724
2021-07,27,3751
2021-08,23,3774
2021-09,39,3813
2021-10,28,3841
2021-11,23,3864
2021-12,20,3884
2022-01,20,3904
2022-02,15,3919
2022-03,25,3944
2022-04,29,3973
2022-05,24,3997
2022-06,16,4013
2022-07,13,4026
2022-08,24,4050
2022-09,14,4064
2022-10,24,4088
2022-11,12,4100
2022-12,12,4112
2023-01,14,4126
2023-02,11,4137
2023-03,19,4156
2023-04,19,4175
2023-05,14,4189
2023-06,15,4204
2023-07,15,4219
2023-08,15,4234
2023-09,16,4250
2023-10,12,4262
2023-11,10,4272
2023-12,19,4291
2024-01,7,4298
2024-02,9,4307
2024-03,11,4318
2024-04,11,4329
2024-05,9,4338
2024-06,15,4353
2024-07,11,4364
2024-08,4,4368
2024-09,11,4379
2024-10,8,4387
