Date,Monthly Value,Accumulated Value
2015-06,3,3
2015-07,3,6
2015-08,2,8
2017-03,22,30
2017-04,7,37
2017-05,16,53
2017-06,11,64
2017-07,2,66
2017-08,7,73
2017-09,5,78
2017-10,11,89
2017-11,11,100
2017-12,6,106
2018-01,6,112
2018-02,5,117
2018-03,4,121
2018-04,1,122
2018-05,2,124
2018-06,3,127
2018-07,5,132
2018-08,5,137
2018-09,7,144
2018-10,5,149
2018-11,3,152
2018-12,2,154
2019-01,6,160
2019-02,7,167
2019-04,4,171
2019-06,4,175
2019-07,1,176
2019-08,2,178
2019-10,1,179
2019-11,2,181
2020-01,6,187
2020-02,1,188
2020-03,3,191
2020-04,3,194
2020-05,8,202
2020-06,2,204
2020-07,4,208
2020-08,4,212
2020-09,1,213
2020-10,1,214
2021-01,2,216
2021-03,2,218
2021-04,3,221
2021-07,2,223
2021-08,1,224
2021-11,2,226
2021-12,1,227
2022-01,1,228
2022-03,2,230
2022-04,3,233
2022-07,1,234
2023-03,4,238
2023-07,3,241
2023-11,2,243
2023-12,2,245
2024-01,2,247
2024-02,3,250
2024-04,2,252
2024-06,1,253
2024-07,3,256
