Date,Monthly Value,Accumulated Value
2015-01,5,5
2015-02,4,9
2015-03,6,15
2015-04,5,20
2015-05,3,23
2015-06,6,29
2015-07,4,33
2015-08,3,36
2015-09,9,45
2015-10,10,55
2015-11,3,58
2015-12,2,60
2016-02,2,62
2016-03,5,67
2016-06,2,69
2016-08,3,72
2016-09,2,74
2016-11,7,81
2016-12,3,84
2017-01,1,85
2017-02,3,88
2017-03,3,91
2017-04,5,96
2017-05,2,98
2017-06,4,102
2017-08,6,108
2017-09,3,111
2017-12,2,113
2018-01,3,116
2018-02,3,119
2018-03,4,123
2018-04,4,127
2018-05,4,131
2018-06,3,134
2018-07,5,139
2018-08,6,145
2018-09,5,150
2018-10,2,152
2018-11,4,156
2018-12,6,162
2019-01,2,164
2019-02,4,168
2019-03,6,174
2019-05,4,178
2019-06,3,181
2019-07,3,184
2019-09,2,186
2019-10,4,190
2019-11,4,194
2019-12,3,197
2020-01,4,201
2020-02,9,210
2020-03,5,215
2020-04,4,219
2020-05,3,222
2020-06,3,225
2020-07,4,229
2020-08,2,231
2020-10,2,233
2020-11,4,237
2021-01,4,241
2021-02,7,248
2021-03,5,253
2021-04,5,258
2021-05,3,261
2021-06,3,264
2021-07,4,268
2021-08,3,271
2021-10,3,274
2021-11,3,277
2022-01,3,280
2022-02,2,282
2022-03,3,285
2022-04,2,287
2022-05,3,290
2022-06,4,294
2022-07,5,299
2022-08,6,305
2022-09,2,307
2022-10,4,311
2022-11,2,313
2023-01,3,316
2023-02,6,322
2023-03,6,328
2023-04,8,336
2023-05,5,341
2023-06,9,350
2023-07,5,355
2023-08,3,358
2023-09,5,363
2023-10,7,370
2023-11,4,374
2023-12,4,378
2024-01,4,382
2024-02,6,388
2024-03,3,391
2024-04,4,395
2024-05,4,399
2024-06,3,402
2024-07,1,403
2024-08,5,408
2024-09,3,411
2024-10,2,413
