Date,Monthly Value,Accumulated Value
2016-08,8,8
2016-09,40,48
2016-10,45,93
2016-11,80,173
2016-12,73,246
2017-01,53,299
2017-02,44,343
2017-03,66,409
2017-04,55,464
2017-05,52,516
2017-06,66,582
2017-07,54,636
2017-08,45,681
2017-09,40,721
2017-10,56,777
2017-11,63,840
2017-12,56,896
2018-01,51,947
2018-02,46,993
2018-03,42,1035
2018-04,44,1079
2018-05,47,1126
2018-06,49,1175
2018-07,44,1219
2018-08,43,1262
2018-09,39,1301
2018-10,53,1354
2018-11,29,1383
2018-12,37,1420
2019-01,42,1462
2019-02,30,1492
2019-03,43,1535
2019-04,27,1562
2019-05,35,1597
2019-06,29,1626
2019-07,33,1659
2019-08,33,1692
2019-09,31,1723
2019-10,35,1758
2019-11,32,1790
2019-12,22,1812
2020-01,29,1841
2020-02,27,1868
2020-03,16,1884
2020-04,29,1913
2020-05,32,1945
2020-06,20,1965
2020-07,20,1985
2020-08,19,2004
2020-09,23,2027
2020-10,29,2056
2020-11,26,2082
2020-12,20,2102
2021-01,24,2126
2021-02,21,2147
2021-03,16,2163
2021-04,17,2180
2021-05,17,2197
2021-06,17,2214
2021-07,14,2228
2021-08,11,2239
2021-09,14,2253
2021-10,14,2267
2021-11,12,2279
2021-12,19,2298
2022-01,17,2315
2022-02,24,2339
2022-03,19,2358
2022-04,17,2375
2022-05,19,2394
2022-06,17,2411
2022-07,6,2417
2022-08,11,2428
2022-09,10,2438
2022-10,11,2449
2022-11,11,2460
2022-12,4,2464
2023-01,9,2473
2023-02,12,2485
2023-03,7,2492
2023-04,8,2500
2023-05,9,2509
2023-06,8,2517
2023-07,4,2521
2023-08,8,2529
2023-09,6,2535
2023-10,7,2542
2023-11,3,2545
2023-12,1,2546
2024-01,8,2554
2024-02,5,2559
2024-03,5,2564
2024-04,8,2572
2024-05,5,2577
2024-06,1,2578
2024-07,2,2580
2024-08,4,2584
2024-09,5,2589
2024-10,6,2595
