Date,Monthly Value,Accumulated Value
2015-01,60,60
2015-02,47,107
2015-03,68,175
2015-04,61,236
2015-05,59,295
2015-06,50,345
2015-07,61,406
2015-08,63,469
2015-09,49,518
2015-10,62,580
2015-11,73,653
2015-12,71,724
2016-01,71,795
2016-02,54,849
2016-03,81,930
2016-04,58,988
2016-05,76,1064
2016-06,62,1126
2016-07,78,1204
2016-08,73,1277
2016-09,53,1330
2016-10,75,1405
2016-11,63,1468
2016-12,62,1530
2017-01,54,1584
2017-02,61,1645
2017-03,57,1702
2017-04,59,1761
2017-05,59,1820
2017-06,57,1877
2017-07,68,1945
2017-08,52,1997
2017-09,56,2053
2017-10,66,2119
2017-11,55,2174
2017-12,51,2225
2018-01,60,2285
2018-02,41,2326
2018-03,53,2379
2018-04,44,2423
2018-05,43,2466
2018-06,41,2507
2018-07,59,2566
2018-08,44,2610
2018-09,35,2645
2018-10,36,2681
2018-11,30,2711
2018-12,26,2737
2019-01,28,2765
2019-02,32,2797
2019-03,41,2838
2019-04,34,2872
2019-05,28,2900
2019-06,29,2929
2019-07,43,2972
2019-08,32,3004
2019-09,29,3033
2019-10,39,3072
2019-11,41,3113
2019-12,30,3143
2020-01,30,3173
2020-02,29,3202
2020-03,39,3241
2020-04,20,3261
2020-05,33,3294
2020-06,29,3323
2020-07,29,3352
2020-08,16,3368
2020-09,16,3384
2020-10,18,3402
2020-11,18,3420
2020-12,25,3445
2021-01,27,3472
2021-02,23,3495
2021-03,18,3513
2021-04,20,3533
2021-05,13,3546
2021-06,22,3568
2021-07,20,3588
2021-08,12,3600
2021-09,14,3614
2021-10,17,3631
2021-11,20,3651
2021-12,21,3672
2022-01,20,3692
2022-02,12,3704
2022-03,21,3725
2022-04,16,3741
2022-05,12,3753
2022-06,10,3763
2022-07,12,3775
2022-08,14,3789
2022-09,83,3872
2022-10,14,3886
2022-11,8,3894
2022-12,6,3900
2023-01,5,3905
2023-02,9,3914
2023-03,6,3920
2023-04,4,3924
2023-05,8,3932
2023-06,11,3943
2023-07,12,3955
2023-08,17,3972
2023-09,3,3975
2023-10,10,3985
2023-11,2,3987
2023-12,5,3992
2024-01,7,3999
2024-02,5,4004
2024-03,10,4014
2024-04,4,4018
2024-05,5,4023
2024-06,2,4025
2024-07,5,4030
2024-08,4,4034
2024-09,5,4039
2024-10,3,4042
