Date,Monthly Value,Accumulated Value
2015-01,6,6
2015-04,4,10
2015-05,5,15
2015-06,3,18
2015-07,1,19
2015-08,10,29
2015-10,2,31
2015-11,6,37
2015-12,2,39
2016-01,4,43
2016-02,10,53
2016-03,12,65
2016-04,211,276
2016-05,39,315
2016-06,23,338
2016-07,19,357
2016-08,31,388
2016-09,14,402
2016-10,23,425
2016-11,24,449
2016-12,22,471
2017-01,21,492
2017-02,6,498
2017-03,33,531
2017-04,26,557
2017-05,26,583
2017-06,29,612
2017-07,28,640
2017-08,42,682
2017-09,25,707
2017-10,20,727
2017-11,27,754
2017-12,35,789
2018-01,13,802
2018-02,4,806
2018-03,12,818
2018-04,8,826
2018-05,12,838
2018-06,7,845
2018-07,7,852
2018-08,35,887
2018-09,13,900
2018-10,9,909
2018-11,14,923
2018-12,9,932
2019-01,16,948
2019-02,6,954
2019-03,8,962
2019-04,30,992
2019-05,14,1006
2019-06,8,1014
2019-07,24,1038
2019-08,12,1050
2019-09,22,1072
2019-10,14,1086
2019-11,24,1110
2019-12,21,1131
2020-01,9,1140
2020-02,8,1148
2020-03,24,1172
2020-04,10,1182
2020-05,18,1200
2020-06,60,1260
2020-07,29,1289
2020-08,5,1294
2020-09,5,1299
2020-10,9,1308
2020-11,16,1324
2020-12,7,1331
2021-01,7,1338
2021-02,3,1341
2021-03,7,1348
2021-04,15,1363
2021-05,17,1380
2021-06,11,1391
2021-07,8,1399
2021-08,7,1406
2021-09,8,1414
2021-11,3,1417
2021-12,5,1422
2022-01,9,1431
2022-02,2,1433
2022-03,3,1436
2022-04,8,1444
2022-05,13,1457
2022-06,18,1475
2022-07,7,1482
2022-08,6,1488
2022-09,1,1489
2022-10,2,1491
2022-11,13,1504
2022-12,5,1509
2023-01,4,1513
2023-02,3,1516
2023-03,4,1520
2023-04,3,1523
2023-05,4,1527
2023-06,1,1528
2023-07,2,1530
2023-09,2,1532
2023-10,4,1536
2023-11,2,1538
2023-12,2,1540
2024-02,2,1542
2024-04,1,1543
2024-05,2,1545
2024-06,1,1546
2024-07,2,1548
2024-08,3,1551
2024-09,2,1553
2024-10,1,1554
