Date,Monthly Value,Accumulated Value
2015-01,1407,1407
2015-02,1174,2581
2015-03,1460,4041
2015-04,1401,5442
2015-05,1326,6768
2015-06,1313,8081
2015-07,1148,9229
2015-08,1152,10381
2015-09,1016,11397
2015-10,1150,12547
2015-11,1136,13683
2015-12,1137,14820
2016-01,1227,16047
2016-02,1037,17084
2016-03,1083,18167
2016-04,910,19077
2016-05,929,20006
2016-06,941,20947
2016-07,923,21870
2016-08,954,22824
2016-09,1046,23870
2016-10,790,24660
2016-11,835,25495
2016-12,769,26264
2017-01,1391,27655
2017-02,1126,28781
2017-03,673,29454
2017-04,509,29963
2017-05,579,30542
2017-06,552,31094
2017-07,523,31617
2017-08,511,32128
2017-09,489,32617
2017-10,409,33026
2017-11,388,33414
2017-12,314,33728
2018-01,409,34137
2018-02,335,34472
2018-03,323,34795
2018-04,352,35147
2018-05,387,35534
2018-06,355,35889
2018-07,268,36157
2018-08,270,36427
2018-09,266,36693
2018-10,203,36896
2018-11,209,37105
2018-12,162,37267
2019-01,202,37469
2019-02,167,37636
2019-03,236,37872
2019-04,198,38070
2019-05,222,38292
2019-06,154,38446
2019-07,156,38602
2019-08,143,38745
2019-09,113,38858
2019-10,112,38970
2019-11,114,39084
2019-12,116,39200
2020-01,110,39310
2020-02,107,39417
2020-03,93,39510
2020-04,103,39613
2020-05,90,39703
2020-06,115,39818
2020-07,101,39919
2020-08,100,40019
2020-09,70,40089
2020-10,90,40179
2020-11,81,40260
2020-12,149,40409
2021-01,74,40483
2021-02,67,40550
2021-03,71,40621
2021-04,86,40707
2021-05,60,40767
2021-06,85,40852
2021-07,62,40914
2021-08,48,40962
2021-09,57,41019
2021-10,52,41071
2021-11,48,41119
2021-12,53,41172
2022-01,67,41239
2022-02,55,41294
2022-03,68,41362
2022-04,47,41409
2022-05,43,41452
2022-06,56,41508
2022-07,36,41544
2022-08,36,41580
2022-09,42,41622
2022-10,40,41662
2022-11,29,41691
2022-12,29,41720
2023-01,28,41748
2023-02,33,41781
2023-03,37,41818
2023-04,28,41846
2023-05,32,41878
2023-06,23,41901
2023-07,37,41938
2023-08,36,41974
2023-09,35,42009
2023-10,24,42033
2023-11,28,42061
2023-12,40,42101
2024-01,48,42149
2024-02,36,42185
2024-03,32,42217
2024-04,31,42248
2024-05,35,42283
2024-06,63,42346
2024-07,42,42388
2024-08,48,42436
2024-09,44,42480
2024-10,40,42520
