Date,Monthly Value,Accumulated Value
2015-01,27,27
2015-02,15,42
2015-03,21,63
2015-04,27,90
2015-05,25,115
2015-06,24,139
2015-07,18,157
2015-08,32,189
2015-09,27,216
2015-10,21,237
2015-11,16,253
2015-12,20,273
2016-01,19,292
2016-02,19,311
2016-03,15,326
2016-04,20,346
2016-05,21,367
2016-06,16,383
2016-07,20,403
2016-08,26,429
2016-09,5,434
2016-10,8,442
2016-11,19,461
2016-12,11,472
2017-01,2,474
2017-02,6,480
2017-03,18,498
2017-04,5,503
2017-05,3,506
2017-06,9,515
2017-07,5,520
2017-08,9,529
2017-09,1,530
2017-10,11,541
2017-11,4,545
2017-12,2,547
2018-01,2,549
2018-03,3,552
2018-04,3,555
2018-05,1,556
2018-06,2,558
2018-07,2,560
2018-09,2,562
2018-12,2,564
2019-01,2,566
2019-04,3,569
2019-05,2,571
2019-06,4,575
2019-09,2,577
2019-10,2,579
2019-11,2,581
2019-12,3,584
2020-02,3,587
2020-03,2,589
2020-06,2,591
2020-10,4,595
2020-11,2,597
2021-01,4,601
2021-02,2,603
2021-03,3,606
2021-05,2,608
2021-07,2,610
2021-10,1,611
2021-11,1,612
2022-01,3,615
2022-03,1,616
2022-06,2,618
2022-09,5,623
2022-10,2,625
2022-12,1,626
2023-01,4,630
2023-02,2,632
2023-03,2,634
2023-04,2,636
2023-05,2,638
2023-06,2,640
2023-07,4,644
2023-09,1,645
2023-11,2,647
2024-04,5,652
2024-07,2,654
2024-09,2,656
2024-10,2,658
