Date,Monthly Value,Accumulated Value
2017-09,1,1
2017-10,1,2
2017-12,1,3
2018-03,1,4
2018-04,2,6
2018-07,1,7
2018-09,3,10
2018-10,3,13
2018-11,2,15
2018-12,1,16
2019-01,1,17
2019-02,3,20
2019-03,13,33
2019-04,10,43
2019-05,8,51
2019-06,6,57
2019-07,2,59
2019-08,1,60
2019-09,1,61
2019-10,3,64
2019-11,7,71
2019-12,4,75
2020-01,3,78
2020-02,4,82
2020-03,6,88
2020-04,4,92
2020-05,2,94
2020-06,2,96
2020-07,3,99
2020-08,3,102
2020-09,4,106
2020-10,1,107
2020-11,2,109
2020-12,2,111
2021-01,2,113
2021-02,3,116
2021-03,7,123
2021-04,8,131
2021-05,1,132
2021-06,2,134
2021-07,2,136
2021-08,2,138
2021-09,3,141
2021-11,4,145
2021-12,3,148
2022-01,3,151
2022-02,2,153
2022-03,2,155
2022-04,14,169
2022-05,4,173
2022-06,3,176
2022-07,4,180
2022-08,2,182
2022-09,4,186
2022-10,5,191
2022-11,5,196
2022-12,10,206
2023-01,5,211
2023-02,3,214
2023-03,2,216
2023-05,1,217
2023-06,3,220
2023-07,3,223
2023-08,1,224
2023-09,1,225
2023-10,2,227
2024-01,2,229
2024-04,1,230
2024-06,4,234
2024-09,1,235
2024-10,1,236
