Date,Monthly Value,Accumulated Value
2015-01,182,182
2015-02,196,378
2015-03,355,733
2015-04,221,954
2015-05,297,1251
2015-06,285,1536
2015-07,297,1833
2015-08,369,2202
2015-09,375,2577
2015-10,346,2923
2015-11,475,3398
2015-12,646,4044
2016-01,1054,5098
2016-02,875,5973
2016-03,892,6865
2016-04,559,7424
2016-05,568,7992
2016-06,642,8634
2016-07,406,9040
2016-08,442,9482
2016-09,414,9896
2016-10,340,10236
2016-11,502,10738
2016-12,396,11134
2017-01,397,11531
2017-02,544,12075
2017-03,717,12792
2017-04,262,13054
2017-05,442,13496
2017-06,516,14012
2017-07,347,14359
2017-08,315,14674
2017-09,428,15102
2017-10,480,15582
2017-11,378,15960
2017-12,166,16126
2018-01,354,16480
2018-02,364,16844
2018-03,377,17221
2018-04,384,17605
2018-05,242,17847
2018-06,180,18027
2018-07,333,18360
2018-08,478,18838
2018-09,353,19191
2018-10,366,19557
2018-11,258,19815
2018-12,180,19995
2019-01,542,20537
2019-02,639,21176
2019-03,615,21791
2019-04,515,22306
2019-05,500,22806
2019-06,1240,24046
2019-07,1262,25308
2019-08,539,25847
2019-09,387,26234
2019-10,454,26688
2019-11,527,27215
2019-12,275,27490
2020-01,314,27804
2020-02,333,28137
2020-03,386,28523
2020-04,543,29066
2020-05,355,29421
2020-06,418,29839
2020-07,301,30140
2020-08,358,30498
2020-09,305,30803
2020-10,290,31093
2020-11,207,31300
2020-12,340,31640
2021-01,276,31916
2021-02,197,32113
2021-03,296,32409
2021-04,273,32682
2021-05,294,32976
2021-06,183,33159
2021-07,244,33403
2021-08,236,33639
2021-09,173,33812
2021-10,223,34035
2021-11,261,34296
2021-12,240,34536
2022-01,190,34726
2022-02,163,34889
2022-03,183,35072
2022-04,372,35444
2022-05,183,35627
2022-06,283,35910
2022-07,290,36200
2022-08,398,36598
2022-09,349,36947
2022-10,359,37306
2022-11,291,37597
2022-12,186,37783
2023-01,142,37925
2023-02,216,38141
2023-03,203,38344
2023-04,143,38487
2023-05,289,38776
2023-06,386,39162
2023-07,401,39563
2023-08,448,40011
2023-09,405,40416
2023-10,481,40897
2023-11,432,41329
2023-12,414,41743
2024-01,422,42165
2024-02,394,42559
2024-03,393,42952
2024-04,256,43208
2024-05,257,43465
2024-06,259,43724
2024-07,239,43963
2024-08,231,44194
2024-09,223,44417
2024-10,281,44698
