Date,Monthly Value,Accumulated Value
2019-07,5137,5137
2019-08,8,5145
2019-09,29252,34397
2019-10,3431,37828
2019-11,126228,164056
2019-12,17271,181327
2020-01,33596,214923
2020-02,13196,228119
2020-03,4978,233097
2020-04,204,233301
2020-05,44184,277485
2020-06,271270,548755
2020-07,225221,773976
2020-08,356,774332
2020-09,50,774382
2020-10,18333,792715
2020-11,56973,849688
2020-12,177658,1027346
2021-01,56982,1084328
2021-02,407,1084735
2021-03,347208,1431943
2021-04,71279,1503222
2021-05,133183,1636405
2021-06,294641,1931046
2021-07,228405,2159451
2021-08,26124,2185575
2021-09,92364,2277939
2021-10,78,2278017
2021-11,199201,2477218
2021-12,325649,2802867
2022-01,470230,3273097
2022-02,446998,3720095
2022-03,436763,4156858
2022-04,85162,4242020
2022-05,67829,4309849
2022-06,204409,4514258
2022-07,252204,4766462
2022-08,1368006,6134468
2022-09,184940,6319408
2022-10,285681,6605089
2022-11,355378,6960467
2022-12,98583,7059050
