Date,Monthly Value,Accumulated Value
2016-08,3058,3058
2016-09,-1,3057
2017-01,3777,6834
2017-12,18499,25333
2018-01,23006,48339
2018-04,141,48480
2018-05,-7,48473
2018-07,1982,50455
2018-08,25106,75561
2018-11,129,75690
2019-03,57810,133500
2019-06,134,133634
2020-03,34,133668
2020-04,2002,135670
2020-05,398,136068
2020-06,-204,135864
2020-07,630,136494
2020-08,26,136520
2020-09,2,136522
2020-10,174,136696
2020-11,55,136751
2020-12,-204,136547
2021-02,2860,139407
2021-03,995,140402
2021-08,22,140424
2021-09,3866,144290
2021-10,9,144299
2022-04,1117,145416
2022-06,197,145613
2022-07,32,145645
2023-01,1464,147109
2023-05,521,147630
2023-12,53960,201590
2024-07,32,201622
