Date,Monthly Value,Accumulated Value
2015-01,1,1
2015-11,1,2
2016-03,3,5
2016-05,1,6
2016-09,1,7
2016-10,1,8
2016-11,1,9
2016-12,2,11
2017-01,2,13
2017-04,1,14
2017-05,1,15
2017-06,2,17
2017-07,1,18
2017-08,1,19
2017-09,1,20
2017-10,1,21
2017-11,1,22
2018-01,2,24
2018-03,2,26
2018-06,3,29
2018-07,1,30
2018-11,1,31
2019-02,1,32
2019-04,3,35
2019-05,2,37
2019-06,3,40
2019-07,1,41
2019-08,2,43
2019-10,1,44
2019-11,4,48
2019-12,2,50
2020-01,2,52
2020-02,1,53
2020-03,6,59
2020-04,5,64
2020-05,1,65
2020-06,1,66
2020-07,2,68
2020-08,3,71
2020-09,4,75
2020-10,3,78
2020-11,1,79
2020-12,4,83
2021-01,5,88
2021-02,1,89
2021-03,4,93
2021-04,2,95
2021-05,3,98
2021-06,3,101
2021-07,3,104
2021-08,7,111
2021-09,3,114
2021-10,3,117
2021-11,2,119
2021-12,1,120
2022-01,2,122
2022-02,2,124
2022-03,6,130
2022-04,1,131
2022-05,3,134
2022-06,5,139
2022-07,4,143
2022-08,8,151
2022-09,4,155
2022-10,2,157
2022-11,7,164
2022-12,3,167
2023-01,1,168
2023-02,2,170
2023-03,2,172
2023-04,6,178
2023-05,7,185
2023-06,3,188
2023-07,5,193
2023-08,4,197
2023-09,4,201
2023-10,3,204
2023-11,2,206
2023-12,3,209
2024-01,6,215
2024-02,1,216
2024-03,3,219
2024-04,2,221
2024-05,3,224
2024-06,5,229
2024-07,5,234
2024-08,8,242
2024-09,7,249
2024-10,3,252
