Date,Monthly Value,Accumulated Value
2022-09,95,95
2022-10,17,112
2022-11,92,204
2022-12,149,353
2023-02,1189,1542
2023-03,5793,7335
2023-04,12,7347
2023-05,9589,16936
2023-06,1205,18141
2023-07,100573,118714
2023-08,12590,131304
2023-09,1011,132315
2023-10,4870,137185
2023-11,588,137773
2023-12,4,137777
2024-01,570,138347
2024-02,1532,139879
2024-03,23,139902
2024-04,54,139956
2024-05,7471,147427
2024-06,42,147469
2024-07,49,147518
2024-08,899,148417
2024-09,2228,150645
2024-10,299,150944
