Date,Monthly Value,Accumulated Value
2015-01,257128,257128
2015-02,145313,402441
2015-03,401959,804400
2015-04,397003,1201403
2015-05,337034,1538437
2015-06,564629,2103066
2015-07,329957,2433023
2015-08,310176,2743199
2015-09,185853,2929052
2015-10,218010,3147062
2015-11,341725,3488787
2015-12,459157,3947944
2016-01,409104,4357048
2016-02,618444,4975492
2016-03,290098,5265590
2016-04,810787,6076377
2016-05,299386,6375763
2016-06,270551,6646314
2016-07,157071,6803385
2016-08,273168,7076553
2016-09,162935,7239488
2016-10,302213,7541701
2016-11,471777,8013478
2016-12,520507,8533985
2017-01,373615,8907600
2017-02,686572,9594172
2017-03,611783,10205955
2017-04,614813,10820768
2017-05,501748,11322516
2017-06,373494,11696010
2017-07,370361,12066371
2017-08,119696,12186067
2017-09,575530,12761597
2017-10,719241,13480838
2017-11,59229,13540067
2017-12,238818,13778885
2018-01,145226,13924111
2018-02,395366,14319477
2018-03,343157,14662634
2018-04,239238,14901872
2018-05,438752,15340624
2018-06,186630,15527254
2018-07,478889,16006143
2018-08,200887,16207030
2018-09,170632,16377662
2018-10,262307,16639969
2018-11,426044,17066013
2018-12,328790,17394803
2019-01,201340,17596143
2019-02,100460,17696603
2019-03,451610,18148213
2019-04,110027,18258240
2019-05,191255,18449495
2019-06,185731,18635226
2019-07,211398,18846624
2019-08,118955,18965579
2019-09,104685,19070264
2019-10,212344,19282608
2019-11,190335,19472943
2019-12,112613,19585556
2020-01,363424,19948980
2020-02,269163,20218143
2020-03,117202,20335345
2020-04,195483,20530828
2020-05,183449,20714277
2020-06,73412,20787689
2020-07,360976,21148665
2020-08,294307,21442972
2020-09,233483,21676455
2020-10,71190,21747645
2020-11,113563,21861208
2020-12,265881,22127089
2021-01,249550,22376639
2021-02,54565,22431204
2021-03,196919,22628123
2021-04,641381,23269504
2021-05,191085,23460589
2021-06,304853,23765442
2021-07,223359,23988801
2021-08,82993,24071794
2021-09,112075,24183869
2021-10,116039,24299908
2021-11,367923,24667831
2021-12,259798,24927629
2022-01,151801,25079430
2022-02,161248,25240678
2022-03,322380,25563058
2022-04,126310,25689368
2022-05,55965,25745333
2022-06,318873,26064206
2022-07,271805,26336011
2022-08,418388,26754399
2022-09,417696,27172095
2022-10,179049,27351144
2022-11,155744,27506888
2022-12,249292,27756180
2023-01,294525,28050705
2023-02,233708,28284413
2023-03,172920,28457333
2023-04,112325,28569658
2023-05,213999,28783657
2023-06,162148,28945805
2023-07,176196,29122001
2023-08,291605,29413606
2023-09,167112,29580718
2023-10,307135,29887853
2023-11,219168,30107021
2023-12,103182,30210203
2024-01,149480,30359683
2024-02,79831,30439514
2024-03,164920,30604434
2024-04,198917,30803351
2024-05,79204,30882555
2024-06,171751,31054306
2024-07,172480,31226786
2024-08,455706,31682492
2024-09,237820,31920312
2024-10,169427,32089739
