Date,Monthly Value,Accumulated Value
2015-01,5,5
2015-02,6,11
2015-03,4,15
2015-04,8,23
2015-05,5,28
2015-06,5,33
2015-07,6,39
2015-08,4,43
2015-09,9,52
2015-10,9,61
2015-11,5,66
2015-12,10,76
2016-01,7,83
2016-02,5,88
2016-03,5,93
2016-04,7,100
2016-05,7,107
2016-06,15,122
2016-07,7,129
2016-08,21,150
2016-09,17,167
2016-10,22,189
2016-11,9,198
2016-12,14,212
2017-01,22,234
2017-02,15,249
2017-03,11,260
2017-04,16,276
2017-05,11,287
2017-06,18,305
2017-07,16,321
2017-08,26,347
2017-09,14,361
2017-10,13,374
2017-11,9,383
2017-12,12,395
2018-01,17,412
2018-02,9,421
2018-03,20,441
2018-04,17,458
2018-05,11,469
2018-06,20,489
2018-07,11,500
2018-08,21,521
2018-09,6,527
2018-10,8,535
2018-11,12,547
2018-12,6,553
2019-01,6,559
2019-02,8,567
2019-03,7,574
2019-04,8,582
2019-05,6,588
2019-06,9,597
2019-07,7,604
2019-08,5,609
2019-09,7,616
2019-10,9,625
2019-11,5,630
2019-12,10,640
2020-01,5,645
2020-02,4,649
2020-03,8,657
2020-04,16,673
2020-05,6,679
2020-06,10,689
2020-07,13,702
2020-08,9,711
2020-09,12,723
2020-10,7,730
2020-11,8,738
2020-12,6,744
2021-01,9,753
2021-02,5,758
2021-03,13,771
2021-04,12,783
2021-05,4,787
2021-06,4,791
2021-07,5,796
2021-08,7,803
2021-09,11,814
2021-10,9,823
2021-11,8,831
2021-12,10,841
2022-01,7,848
2022-02,12,860
2022-03,8,868
2022-04,10,878
2022-05,7,885
2022-06,6,891
2022-07,7,898
2022-08,8,906
2022-09,3,909
2022-10,6,915
2022-11,4,919
2022-12,7,926
2023-01,4,930
2023-02,4,934
2023-03,3,937
2023-04,6,943
2023-05,7,950
2023-06,10,960
2023-07,4,964
2023-08,2,966
2023-09,3,969
2023-10,3,972
2023-11,5,977
2023-12,5,982
2024-01,3,985
2024-02,4,989
2024-03,2,991
2024-04,3,994
2024-05,3,997
2024-06,5,1002
2024-07,5,1007
2024-08,6,1013
2024-09,2,1015
2024-10,4,1019
