Date,Monthly Value,Accumulated Value
2015-01,79,79
2015-02,71,150
2015-03,46,196
2015-04,38,234
2015-05,62,296
2015-06,11,307
2015-07,61,368
2015-08,55,423
2015-09,120,543
2015-10,152,695
2015-11,42,737
2015-12,247,984
2016-01,122,1106
2016-02,156,1262
2016-03,35,1297
2016-04,50,1347
2016-05,211,1558
2016-06,249,1807
2016-07,87,1894
2016-08,235,2129
2016-09,31,2160
2016-10,207,2367
2016-11,114,2481
2016-12,66,2547
2017-01,46,2593
2017-02,49,2642
2017-03,46,2688
2017-04,11,2699
2017-05,73,2772
2017-06,173,2945
2017-07,472,3417
2017-08,98,3515
2017-09,218,3733
2017-10,727,4460
2017-11,50,4510
2017-12,198,4708
2018-01,225,4933
2018-02,195,5128
2018-03,83,5211
2018-04,78,5289
2018-05,63,5352
2018-06,104,5456
2018-07,14,5470
2018-08,34,5504
2018-09,155,5659
2018-10,33,5692
2018-11,28,5720
2018-12,31,5751
2019-01,45,5796
2019-02,18,5814
2019-03,60,5874
2019-04,12,5886
2019-05,25,5911
2019-06,8,5919
2019-07,8,5927
2019-08,21,5948
2019-09,56,6004
2019-10,28,6032
2019-11,35,6067
2019-12,30,6097
2020-01,13,6110
2020-02,64,6174
2020-03,106,6280
2020-04,23,6303
2020-05,141,6444
2020-06,9,6453
2020-07,3,6456
2020-08,4,6460
2020-09,16,6476
2020-10,10,6486
2020-11,53,6539
2020-12,61,6600
2021-01,6,6606
2021-02,34,6640
2021-03,61,6701
2021-04,25,6726
2021-05,38,6764
2021-06,35,6799
2021-07,25,6824
2021-08,25,6849
2021-09,52,6901
2021-10,41,6942
2021-11,40,6982
2021-12,32,7014
2022-01,3,7017
2022-02,26,7043
2022-03,52,7095
2022-04,39,7134
2022-05,5,7139
2022-07,4,7143
2022-08,2,7145
2022-10,21,7166
2022-11,15,7181
2022-12,34,7215
2023-01,22,7237
2023-02,51,7288
2023-03,17,7305
2023-05,7,7312
2023-06,3,7315
2023-07,20,7335
2023-09,2,7337
2023-10,31,7368
2023-11,39,7407
2023-12,29,7436
2024-01,29,7465
2024-02,28,7493
2024-03,1,7494
2024-04,1,7495
2024-09,39,7534
2024-10,16,7550
