Date,Monthly Value,Accumulated Value
2017-03,32,32
2017-04,36,68
2017-05,31,99
2017-06,26,125
2017-07,32,157
2017-08,33,190
2017-09,88,278
2017-10,89,367
2017-11,193,560
2017-12,90,650
2018-01,288,938
2018-02,216,1154
2018-03,101,1255
2018-04,108,1363
2018-05,97,1460
2018-06,127,1587
2018-07,121,1708
2018-08,97,1805
2018-09,86,1891
2018-10,133,2024
2018-11,130,2154
2018-12,82,2236
2019-01,101,2337
2019-02,94,2431
2019-03,106,2537
2019-04,67,2604
2019-05,85,2689
2019-06,90,2779
2019-07,86,2865
2019-08,76,2941
2019-09,76,3017
2019-10,102,3119
2019-11,102,3221
2019-12,92,3313
2020-01,97,3410
2020-02,80,3490
2020-03,56,3546
2020-04,81,3627
2020-05,92,3719
2020-06,62,3781
2020-07,65,3846
2020-08,73,3919
2020-09,52,3971
2020-10,104,4075
2020-11,66,4141
2020-12,68,4209
2021-01,73,4282
2021-02,59,4341
2021-03,88,4429
2021-04,59,4488
2021-05,57,4545
2021-06,51,4596
2021-07,59,4655
2021-08,51,4706
2021-09,95,4801
2021-10,84,4885
2021-11,86,4971
2021-12,85,5056
2022-01,55,5111
2022-02,52,5163
2022-03,52,5215
2022-04,56,5271
2022-05,63,5334
2022-06,68,5402
2022-07,61,5463
2022-08,68,5531
2022-09,49,5580
2022-10,49,5629
2022-11,58,5687
2022-12,51,5738
2023-01,50,5788
2023-02,48,5836
2023-03,60,5896
2023-04,59,5955
2023-05,38,5993
2023-06,33,6026
2023-07,35,6061
2023-08,27,6088
2023-09,33,6121
2023-10,39,6160
2023-11,30,6190
2023-12,26,6216
2024-01,30,6246
2024-02,38,6284
2024-03,37,6321
2024-04,31,6352
2024-05,39,6391
2024-06,65,6456
2024-07,34,6490
2024-08,35,6525
2024-09,38,6563
2024-10,21,6584
