Date,Monthly Value,Accumulated Value
2017-03,2,2
2017-04,3,5
2017-05,5,10
2017-07,3,13
2017-08,4,17
2017-09,7,24
2017-10,14,38
2017-11,12,50
2017-12,13,63
2018-01,20,83
2018-02,17,100
2018-03,10,110
2018-04,9,119
2018-05,14,133
2018-06,8,141
2018-07,14,155
2018-08,14,169
2018-09,7,176
2018-10,16,192
2018-11,13,205
2018-12,13,218
2019-01,11,229
2019-02,16,245
2019-03,12,257
2019-04,13,270
2019-05,8,278
2019-06,16,294
2019-07,8,302
2019-08,8,310
2019-09,9,319
2019-10,18,337
2019-11,8,345
2019-12,14,359
2020-01,11,370
2020-02,9,379
2020-03,1,380
2020-04,4,384
2020-05,5,389
2020-06,4,393
2020-07,2,395
2020-08,4,399
2020-09,2,401
2020-10,3,404
2020-11,1,405
2020-12,2,407
2021-01,3,410
2021-02,2,412
2021-03,1,413
2021-04,5,418
2021-05,7,425
2021-06,4,429
2021-07,1,430
2021-08,4,434
2021-09,9,443
2021-10,7,450
2021-11,8,458
2021-12,4,462
2022-01,13,475
2022-02,5,480
2022-03,2,482
2022-04,2,484
2022-05,3,487
2022-06,5,492
2022-07,9,501
2022-08,7,508
2022-09,6,514
2022-10,10,524
2022-11,4,528
2022-12,5,533
2023-01,7,540
2023-02,10,550
2023-03,4,554
2023-04,5,559
2023-05,6,565
2023-06,1,566
2023-07,7,573
2023-08,2,575
2023-09,2,577
2023-10,14,591
2023-11,1,592
2023-12,2,594
2024-01,6,600
2024-02,4,604
2024-03,5,609
2024-04,1,610
2024-05,2,612
2024-06,1,613
2024-07,3,616
2024-08,2,618
2024-09,2,620
2024-10,10,630
