Date,Monthly Value,Accumulated Value
2015-01,11,11
2015-02,9,20
2015-03,13,33
2015-04,43,76
2015-05,11,87
2015-06,3,90
2015-07,8,98
2015-08,8,106
2015-09,2,108
2015-10,12,120
2015-11,19,139
2015-12,22,161
2016-01,34,195
2016-02,9,204
2016-03,14,218
2016-04,48,266
2016-05,20,286
2016-06,26,312
2016-07,26,338
2016-08,51,389
2016-09,25,414
2016-10,23,437
2016-11,16,453
2016-12,31,484
2017-01,27,511
2017-02,17,528
2017-03,38,566
2017-04,25,591
2017-05,38,629
2017-06,28,657
2017-07,23,680
2017-08,19,699
2017-09,49,748
2017-10,38,786
2017-11,31,817
2017-12,25,842
2018-01,27,869
2018-02,16,885
2018-03,30,915
2018-04,36,951
2018-05,22,973
2018-06,39,1012
2018-07,45,1057
2018-08,28,1085
2018-09,17,1102
2018-10,17,1119
2018-11,12,1131
2018-12,12,1143
2019-01,28,1171
2019-02,20,1191
2019-03,27,1218
2019-04,35,1253
2019-05,21,1274
2019-06,22,1296
2019-07,35,1331
2019-08,20,1351
2019-09,22,1373
2019-10,26,1399
2019-11,5,1404
2019-12,26,1430
2020-01,23,1453
2020-02,20,1473
2020-03,52,1525
2020-04,19,1544
2020-05,26,1570
2020-06,19,1589
2020-07,14,1603
2020-08,16,1619
2020-09,11,1630
2020-10,17,1647
2020-11,18,1665
2020-12,13,1678
2021-01,9,1687
2021-02,13,1700
2021-03,18,1718
2021-04,11,1729
2021-05,15,1744
2021-06,17,1761
2021-07,9,1770
2021-08,10,1780
2021-09,4,1784
2021-10,7,1791
2021-11,9,1800
2021-12,6,1806
2022-01,12,1818
2022-02,7,1825
2022-03,17,1842
2022-04,9,1851
2022-05,16,1867
2022-06,13,1880
2022-07,10,1890
2022-08,5,1895
2022-09,19,1914
2022-10,4,1918
2022-11,10,1928
2022-12,9,1937
2023-01,12,1949
2023-02,14,1963
2023-03,21,1984
2023-04,11,1995
2023-05,6,2001
2023-06,9,2010
2023-07,7,2017
2023-08,11,2028
2023-09,4,2032
2023-10,4,2036
2023-11,7,2043
2023-12,3,2046
2024-01,10,2056
2024-02,3,2059
2024-03,4,2063
2024-04,6,2069
2024-05,10,2079
2024-06,32,2111
2024-07,62,2173
2024-08,4,2177
2024-09,2,2179
2024-10,2,2181
