Date,Monthly Value,Accumulated Value
2015-01,1,1
2015-03,1,2
2015-04,1,3
2015-08,1,4
2015-09,1,5
2015-10,2,7
2015-12,4,11
2016-01,1,12
2016-04,3,15
2016-08,7,22
2016-09,1,23
2016-10,1,24
2016-11,7,31
2016-12,2,33
2017-03,3,36
2017-04,1,37
2017-05,4,41
2017-06,2,43
2017-07,8,51
2017-08,5,56
2017-09,8,64
2017-10,6,70
2017-11,9,79
2017-12,8,87
2018-01,4,91
2018-02,7,98
2018-03,5,103
2018-04,3,106
2018-05,11,117
2018-06,32,149
2018-07,7,156
2018-08,9,165
2018-09,10,175
2018-10,7,182
2018-11,8,190
2019-01,14,204
2019-02,4,208
2019-03,8,216
2019-04,5,221
2019-05,14,235
2019-06,7,242
2019-07,20,262
2019-08,5,267
2019-09,12,279
2019-10,12,291
2019-11,5,296
2020-01,13,309
2020-02,5,314
2020-03,20,334
2020-04,6,340
2020-05,13,353
2020-06,11,364
2020-07,5,369
2020-08,5,374
2020-09,7,381
2020-10,33,414
2020-11,8,422
2020-12,11,433
2021-01,2,435
2021-02,10,445
2021-03,22,467
2021-04,8,475
2021-05,37,512
2021-06,26,538
2021-07,8,546
2021-08,3,549
2021-09,14,563
2021-10,22,585
2021-11,42,627
2021-12,13,640
2022-01,12,652
2022-02,18,670
2022-03,13,683
2022-04,5,688
2022-05,2,690
2022-06,10,700
2022-07,8,708
2022-08,13,721
2022-09,18,739
2022-10,10,749
2022-11,12,761
2022-12,6,767
2023-01,6,773
2023-02,7,780
2023-03,5,785
2023-04,14,799
2023-05,22,821
2023-06,6,827
2023-07,23,850
2023-08,15,865
2023-09,10,875
2023-10,13,888
2023-11,4,892
2023-12,2,894
2024-01,4,898
2024-02,15,913
2024-03,17,930
2024-04,23,953
2024-05,17,970
2024-06,7,977
2024-07,6,983
2024-08,7,990
2024-09,11,1001
2024-10,15,1016
