Date,Monthly Value,Accumulated Value
2015-01,4,4
2015-02,8,12
2015-03,5,17
2015-04,1,18
2015-06,6,24
2015-08,5,29
2015-09,4,33
2015-10,5,38
2015-11,2,40
2015-12,9,49
2016-01,7,56
2016-02,1,57
2016-03,5,62
2016-04,9,71
2016-05,3,74
2016-06,4,78
2016-07,5,83
2016-08,9,92
2016-09,5,97
2016-10,4,101
2016-11,7,108
2016-12,6,114
2017-01,2,116
2017-03,7,123
2017-04,13,136
2017-05,8,144
2017-06,10,154
2017-07,14,168
2017-08,21,189
2017-09,17,206
2017-10,20,226
2017-11,20,246
2017-12,16,262
2018-01,14,276
2018-02,26,302
2018-03,15,317
2018-04,15,332
2018-05,22,354
2018-06,22,376
2018-07,18,394
2018-08,12,406
2018-09,16,422
2018-10,12,434
2018-11,13,447
2018-12,13,460
2019-01,16,476
2019-02,19,495
2019-03,20,515
2019-04,24,539
2019-05,33,572
2019-06,25,597
2019-07,25,622
2019-08,28,650
2019-09,29,679
2019-10,30,709
2019-11,21,730
2019-12,10,740
2020-01,22,762
2020-02,14,776
2020-03,26,802
2020-04,27,829
2020-05,26,855
2020-06,30,885
2020-07,24,909
2020-08,25,934
2020-09,17,951
2020-10,38,989
2020-11,34,1023
2020-12,26,1049
2021-01,17,1066
2021-02,25,1091
2021-03,31,1122
2021-04,31,1153
2021-05,39,1192
2021-06,30,1222
2021-07,20,1242
2021-08,15,1257
2021-09,27,1284
2021-10,23,1307
2021-11,24,1331
2021-12,20,1351
2022-01,18,1369
2022-02,20,1389
2022-03,21,1410
2022-04,28,1438
2022-05,24,1462
2022-06,23,1485
2022-07,12,1497
2022-08,32,1529
2022-09,26,1555
2022-10,26,1581
2022-11,31,1612
2022-12,23,1635
2023-01,23,1658
2023-02,22,1680
2023-03,27,1707
2023-04,20,1727
2023-05,27,1754
2023-06,22,1776
2023-07,26,1802
2023-08,27,1829
2023-09,22,1851
2023-10,29,1880
2023-11,21,1901
2023-12,21,1922
2024-01,32,1954
2024-02,30,1984
2024-03,30,2014
2024-04,53,2067
2024-05,44,2111
2024-06,27,2138
2024-07,29,2167
2024-08,39,2206
2024-09,43,2249
2024-10,30,2279
