Date,Monthly Value,Accumulated Value
2015-05,233,233
2015-06,83,316
2015-07,190,506
2015-08,739,1245
2015-09,3866,5111
2015-10,128,5239
2015-11,1,5240
2015-12,1,5241
2016-06,176,5417
2016-07,173,5590
2016-08,1,5591
2016-09,4,5595
2016-10,11,5606
2016-11,927,6533
2018-01,331,6864
2018-02,16,6880
2018-05,1,6881
2018-07,187,7068
2018-08,35,7103
2019-02,18,7121
2019-08,34,7155
2019-09,406,7561
2019-10,31,7592
2020-01,2,7594
2020-03,989,8583
2020-05,190,8773
2020-09,106,8879
2020-10,1,8880
2021-05,265,9145
2021-07,11,9156
2021-09,425,9581
2022-02,36,9617
2022-04,352,9969
2022-06,22,9991
2022-08,35,10026
2022-09,52,10078
2023-05,13,10091
2023-12,1,10092
2024-02,542,10634
2024-05,482,11116
