Date,Monthly Value,Accumulated Value
2015-01,2,2
2015-02,1,3
2015-03,1,4
2015-05,2,6
2015-07,6,12
2015-08,2,14
2015-09,2,16
2015-10,4,20
2015-11,2,22
2015-12,8,30
2016-01,3,33
2016-02,3,36
2016-03,1,37
2016-05,8,45
2016-06,7,52
2016-07,15,67
2016-08,3,70
2016-09,9,79
2016-10,4,83
2016-11,4,87
2016-12,2,89
2017-01,10,99
2017-02,2,101
2017-03,3,104
2017-04,1,105
2017-05,7,112
2017-06,3,115
2017-07,5,120
2017-09,10,130
2017-10,7,137
2017-11,7,144
2017-12,5,149
2018-01,11,160
2018-02,4,164
2018-03,3,167
2018-04,5,172
2018-05,1,173
2018-06,8,181
2018-07,12,193
2018-08,17,210
2018-09,7,217
2018-10,12,229
2018-11,5,234
2018-12,10,244
2019-01,9,253
2019-02,19,272
2019-03,9,281
2019-04,6,287
2019-05,4,291
2019-06,4,295
2019-07,2,297
2019-08,4,301
2019-09,3,304
2019-10,7,311
2019-11,8,319
2019-12,2,321
2020-01,3,324
2020-02,6,330
2020-03,4,334
2020-04,12,346
2020-05,5,351
2020-06,10,361
2020-07,2,363
2020-08,2,365
2020-09,2,367
2020-11,1,368
2020-12,2,370
2021-01,3,373
2021-02,1,374
2021-03,2,376
2021-04,2,378
2021-05,1,379
2021-06,1,380
2021-07,4,384
2021-08,2,386
2021-09,3,389
2021-10,3,392
2021-11,3,395
2021-12,2,397
2022-01,5,402
2022-02,4,406
2022-03,7,413
2022-04,3,416
2022-05,2,418
2022-06,1,419
2022-07,1,420
2022-08,3,423
2022-09,3,426
2022-10,2,428
2022-11,4,432
2022-12,4,436
2023-01,1,437
2023-02,1,438
2023-03,3,441
2023-05,2,443
2023-08,2,445
2023-09,2,447
2023-10,2,449
2023-11,4,453
2023-12,2,455
2024-02,2,457
2024-03,1,458
2024-04,3,461
2024-05,1,462
2024-06,4,466
2024-07,4,470
2024-09,1,471
2024-10,5,476
