Date,Monthly Value,Accumulated Value
2015-01,18,18
2015-02,17,35
2015-03,26,61
2015-04,20,81
2015-05,37,118
2015-06,21,139
2015-07,27,166
2015-08,16,182
2015-09,19,201
2015-10,29,230
2015-11,22,252
2015-12,28,280
2016-01,23,303
2016-02,20,323
2016-03,25,348
2016-04,15,363
2016-05,25,388
2016-06,35,423
2016-07,21,444
2016-08,22,466
2016-09,16,482
2016-10,12,494
2016-11,22,516
2016-12,17,533
2017-01,23,556
2017-02,18,574
2017-03,14,588
2017-04,17,605
2017-05,17,622
2017-06,13,635
2017-07,10,645
2017-08,17,662
2017-09,15,677
2017-10,22,699
2017-11,19,718
2017-12,21,739
2018-01,15,754
2018-02,11,765
2018-03,10,775
2018-04,11,786
2018-05,10,796
2018-06,8,804
2018-07,12,816
2018-08,13,829
2018-09,12,841
2018-10,15,856
2018-11,13,869
2018-12,3,872
2019-01,14,886
2019-02,12,898
2019-03,10,908
2019-04,12,920
2019-05,13,933
2019-06,12,945
2019-07,8,953
2019-08,14,967
2019-09,12,979
2019-10,12,991
2019-11,12,1003
2019-12,14,1017
2020-01,9,1026
2020-02,9,1035
2020-03,10,1045
2020-04,7,1052
2020-05,10,1062
2020-06,9,1071
2020-07,11,1082
2020-08,5,1087
2020-09,4,1091
2020-10,6,1097
2020-11,4,1101
2020-12,13,1114
2021-01,10,1124
2021-02,10,1134
2021-03,10,1144
2021-04,5,1149
2021-05,8,1157
2021-06,8,1165
2021-07,6,1171
2021-08,9,1180
2021-09,9,1189
2021-10,8,1197
2021-11,6,1203
2021-12,10,1213
2022-01,12,1225
2022-02,7,1232
2022-03,8,1240
2022-04,5,1245
2022-05,12,1257
2022-06,10,1267
2022-07,9,1276
2022-08,9,1285
2022-09,9,1294
2022-10,8,1302
2022-11,14,1316
2022-12,12,1328
2023-01,9,1337
2023-02,5,1342
2023-03,5,1347
2023-04,6,1353
2023-05,5,1358
2023-06,5,1363
2023-07,5,1368
2023-08,2,1370
2023-09,2,1372
2023-10,3,1375
2023-11,6,1381
2023-12,2,1383
2024-01,2,1385
2024-02,5,1390
2024-03,4,1394
2024-04,2,1396
2024-05,3,1399
2024-06,3,1402
2024-07,6,1408
2024-08,6,1414
2024-09,4,1418
2024-10,2,1420
