Date,Monthly Value,Accumulated Value
2016-09,1,1
2016-10,1,2
2016-11,1,3
2016-12,2,5
2017-01,1,6
2017-02,8,14
2017-03,6,20
2017-04,4,24
2017-05,12,36
2017-06,10,46
2017-07,5,51
2017-08,6,57
2017-09,8,65
2017-10,6,71
2017-11,5,76
2017-12,2,78
2018-01,4,82
2018-02,7,89
2018-03,9,98
2018-04,6,104
2018-05,11,115
2018-06,10,125
2018-07,15,140
2018-08,9,149
2018-09,4,153
2018-10,13,166
2018-11,12,178
2018-12,4,182
2019-01,10,192
2019-02,6,198
2019-03,9,207
2019-04,10,217
2019-05,8,225
2019-06,4,229
2019-07,4,233
2019-08,7,240
2019-09,5,245
2019-10,4,249
2019-11,4,253
2019-12,6,259
2020-01,3,262
2020-02,2,264
2020-03,3,267
2020-04,1,268
2020-05,6,274
2020-06,6,280
2020-07,4,284
2020-08,1,285
2020-09,2,287
2020-10,3,290
2020-11,2,292
2020-12,1,293
2021-01,2,295
2021-02,3,298
2021-03,5,303
2021-04,4,307
2021-05,2,309
2021-06,2,311
2021-08,3,314
2021-09,5,319
2021-10,3,322
2021-11,2,324
2021-12,3,327
2022-02,1,328
2022-03,4,332
2022-04,3,335
2022-05,1,336
2022-08,4,340
2022-09,2,342
2022-11,1,343
2022-12,2,345
2023-01,1,346
2023-02,2,348
2023-03,2,350
2023-06,2,352
2023-07,2,354
2023-08,2,356
2023-10,1,357
2023-12,1,358
2024-01,1,359
2024-02,1,360
2024-10,2,362
