Date,Monthly Value,Accumulated Value
2022-03,3,3
2022-04,4,7
2022-05,5,12
2022-06,7,19
2022-07,9,28
2022-08,12,40
2022-09,11,51
2022-10,14,65
2022-11,15,80
2022-12,16,96
2023-01,21,117
2023-02,25,142
2023-03,28,170
2023-04,29,199
2023-05,30,229
2023-06,30,259
2023-07,31,290
2023-08,33,323
2023-09,33,356
2023-10,36,392
2023-11,38,430
2023-12,40,470
2024-01,42,512
2024-02,43,555
2024-03,43,598
2024-04,45,643
2024-05,48,691
2024-06,48,739
2024-07,49,788
2024-08,50,838
2024-09,52,890
2024-10,53,943
