Date,Monthly Value,Accumulated Value
2015-02,6,6
2015-03,43,49
2015-04,47,96
2015-05,57,153
2015-06,23,176
2015-07,52,228
2015-08,108,336
2015-09,97,433
2015-10,41,474
2015-11,28,502
2015-12,39,541
2016-01,36,577
2016-02,61,638
2016-03,51,689
2016-04,57,746
2016-05,53,799
2016-06,72,871
2016-07,60,931
2016-08,45,976
2016-09,43,1019
2016-10,24,1043
2016-11,38,1081
2016-12,51,1132
2017-01,66,1198
2017-02,42,1240
2017-03,68,1308
2017-04,58,1366
2017-05,42,1408
2017-06,69,1477
2017-07,89,1566
2017-08,66,1632
2017-09,42,1674
2017-10,61,1735
2017-11,107,1842
2017-12,52,1894
2018-01,78,1972
2018-02,87,2059
2018-03,95,2154
2018-04,73,2227
2018-05,64,2291
2018-06,52,2343
2018-07,62,2405
2018-08,56,2461
2018-09,39,2500
2018-10,71,2571
2018-11,42,2613
2018-12,60,2673
2019-01,48,2721
2019-02,64,2785
2019-03,70,2855
2019-04,78,2933
2019-05,121,3054
2019-06,83,3137
2019-07,45,3182
2019-08,44,3226
2019-09,66,3292
2019-10,96,3388
2019-11,62,3450
2019-12,77,3527
2020-01,63,3590
2020-02,67,3657
2020-03,59,3716
2020-04,74,3790
2020-05,58,3848
2020-06,54,3902
2020-07,59,3961
2020-08,60,4021
2020-09,63,4084
2020-10,70,4154
2020-11,65,4219
2020-12,56,4275
2021-01,60,4335
2021-02,52,4387
2021-03,61,4448
2021-04,58,4506
2021-05,51,4557
2021-06,49,4606
2021-07,32,4638
2021-08,59,4697
2021-09,84,4781
2021-10,63,4844
2021-11,55,4899
2021-12,35,4934
2022-01,58,4992
2022-02,36,5028
2022-03,51,5079
2022-04,61,5140
2022-05,64,5204
2022-06,60,5264
2022-07,63,5327
2022-08,61,5388
2022-09,55,5443
2022-10,52,5495
2022-11,26,5521
2022-12,27,5548
2023-01,63,5611
2023-02,32,5643
2023-03,59,5702
2023-04,81,5783
2023-05,67,5850
2023-06,67,5917
2023-07,50,5967
2023-08,45,6012
2023-09,25,6037
2023-10,23,6060
2023-11,48,6108
2023-12,41,6149
2024-01,42,6191
2024-02,66,6257
2024-03,51,6308
2024-04,45,6353
2024-05,70,6423
2024-06,60,6483
2024-07,47,6530
2024-08,54,6584
2024-09,34,6618
2024-10,46,6664
