Date,Monthly Value,Accumulated Value
2015-02,483,483
2015-03,5226,5709
2015-04,7610,13319
2015-05,50043,63362
2015-06,10264,73626
2015-07,8021,81647
2015-08,61346,142993
2015-09,11337,154330
2015-10,11578,165908
2015-11,4869,170777
2015-12,22606,193383
2016-01,3800,197183
2016-02,6744,203927
2016-03,383,204310
2016-04,12775,217085
2016-05,11914,228999
2016-06,14593,243592
2016-07,31378,274970
2016-08,-31839,243131
2016-09,16658,259789
2016-10,45873,305662
2016-11,43195,348857
2016-12,23565,372422
2017-01,8466,380888
2017-02,53124,434012
2017-03,39083,473095
2017-04,9614,482709
2017-05,-21596,461113
2017-06,32707,493820
2017-07,8951,502771
2017-08,12872,515643
2017-09,9318,524961
2017-10,6870,531831
2017-11,16687,548518
2017-12,13441,561959
2018-01,11367,573326
2018-02,64560,637886
2018-03,51231,689117
2018-04,59793,748910
2018-05,7747,756657
2018-06,-30455,726202
2018-07,2440,728642
2018-08,30115,758757
2018-09,14893,773650
2018-10,-4166,769484
2018-11,3982,773466
2018-12,47718,821184
2019-01,10340,831524
2019-02,34963,866487
2019-03,-105409,761078
2019-04,-9127,751951
2019-05,7234,759185
2019-06,-101529,657656
2019-07,3733,661389
2019-08,6632,668021
2019-09,8389,676410
2019-10,17111,693521
2019-11,17006,710527
2019-12,31060,741587
2020-01,-9077,732510
2020-02,17608,750118
2020-03,25229,775347
2020-04,5390,780737
2020-05,7940,788677
2020-06,27233,815910
2020-07,32024,847934
2020-08,29879,877813
2020-09,-6994,870819
2020-10,18861,889680
2020-11,9396,899076
2020-12,15914,914990
2021-01,3137,918127
2021-02,12224,930351
2021-03,20102,950453
2021-04,17452,967905
2021-05,8494,976399
2021-06,2428,978827
2021-07,12431,991258
2021-08,9124,1000382
2021-09,9308,1009690
2021-10,130,1009820
2021-11,21436,1031256
2021-12,1350,1032606
2022-01,8468,1041074
2022-02,5602,1046676
2022-03,13111,1059787
2022-04,9846,1069633
2022-05,13311,1082944
2022-06,7115,1090059
2022-07,8588,1098647
2022-08,26650,1125297
2022-09,9443,1134740
2022-10,-659,1134081
2022-11,2896,1136977
2022-12,5380,1142357
2023-01,8596,1150953
2023-02,30510,1181463
2023-03,19982,1201445
2023-04,1569,1203014
2023-05,2090,1205104
2023-06,5105,1210209
2023-07,5261,1215470
2023-08,7980,1223450
2023-09,4109,1227559
2023-10,4275,1231834
2023-11,2815,1234649
2023-12,1895,1236544
2024-01,2229,1238773
2024-02,-9291,1229482
2024-03,11363,1240845
2024-04,36940,1277785
2024-05,4885,1282670
2024-06,8934,1291604
2024-07,4497,1296101
2024-08,-2675,1293426
2024-09,136,1293562
2024-10,4691,1298253
