Date,Monthly Value,Accumulated Value
2015-04,10,10
2015-05,8,18
2015-06,6,24
2015-07,9,33
2015-08,37,70
2015-09,24,94
2015-10,20,114
2015-11,14,128
2015-12,19,147
2016-01,19,166
2016-02,23,189
2016-03,21,210
2016-04,37,247
2016-05,110,357
2016-06,41,398
2016-07,24,422
2016-08,30,452
2016-09,49,501
2016-10,27,528
2016-11,47,575
2016-12,27,602
2017-01,27,629
2017-02,34,663
2017-03,41,704
2017-04,35,739
2017-05,37,776
2017-06,37,813
2017-07,38,851
2017-08,43,894
2017-09,73,967
2017-10,43,1010
2017-11,28,1038
2017-12,45,1083
2018-01,37,1120
2018-02,35,1155
2018-03,45,1200
2018-04,48,1248
2018-05,68,1316
2018-06,37,1353
2018-07,35,1388
2018-08,27,1415
2018-09,31,1446
2018-10,32,1478
2018-11,42,1520
2018-12,51,1571
2019-01,74,1645
2019-02,46,1691
2019-03,48,1739
2019-04,95,1834
2019-05,57,1891
2019-06,50,1941
2019-07,56,1997
2019-08,41,2038
2019-09,34,2072
2019-10,49,2121
2019-11,53,2174
2019-12,48,2222
2020-01,48,2270
2020-02,28,2298
2020-03,53,2351
2020-04,49,2400
2020-05,43,2443
2020-06,38,2481
2020-07,69,2550
2020-08,44,2594
2020-09,41,2635
2020-10,51,2686
2020-11,43,2729
2020-12,71,2800
2021-01,51,2851
2021-02,40,2891
2021-03,59,2950
2021-04,45,2995
2021-05,40,3035
2021-06,41,3076
2021-07,54,3130
2021-08,41,3171
2021-09,44,3215
2021-10,43,3258
2021-11,33,3291
2021-12,67,3358
2022-01,73,3431
2022-02,33,3464
2022-03,44,3508
2022-04,33,3541
2022-05,48,3589
2022-06,46,3635
2022-07,44,3679
2022-08,45,3724
2022-09,40,3764
2022-10,45,3809
2022-11,26,3835
2022-12,22,3857
2023-01,35,3892
2023-02,37,3929
2023-03,36,3965
2023-04,40,4005
2023-05,37,4042
2023-06,34,4076
2023-07,49,4125
2023-08,38,4163
2023-09,32,4195
2023-10,38,4233
2023-11,42,4275
2023-12,25,4300
2024-01,21,4321
2024-02,22,4343
2024-03,33,4376
2024-04,19,4395
2024-05,33,4428
2024-06,31,4459
2024-07,31,4490
2024-08,26,4516
2024-09,22,4538
2024-10,28,4566
