Date,Monthly Value,Accumulated Value
2015-01,3,3
2015-02,2,5
2015-03,2,7
2015-04,2,9
2015-05,2,11
2015-06,4,15
2015-07,1,16
2015-08,4,20
2015-09,2,22
2015-10,2,24
2015-11,4,28
2015-12,1,29
2016-01,2,31
2016-02,1,32
2016-03,2,34
2016-04,3,37
2016-05,2,39
2016-06,3,42
2016-07,1,43
2016-08,1,44
2016-09,2,46
2016-10,2,48
2016-11,1,49
2016-12,1,50
2017-01,1,51
2017-03,1,52
2017-04,2,54
2017-05,1,55
2017-06,1,56
2017-07,1,57
2017-08,1,58
2017-09,3,61
2017-10,1,62
2017-11,1,63
2017-12,1,64
2018-01,1,65
2018-02,2,67
2018-03,3,70
2018-04,8,78
2018-05,5,83
2018-06,4,87
2018-07,1,88
2018-08,3,91
2018-09,4,95
2018-11,2,97
2018-12,3,100
2019-01,3,103
2019-02,2,105
2019-03,3,108
2019-04,3,111
2019-11,2,113
2020-06,1,114
