Date,Monthly Value,Accumulated Value
2015-01,2,2
2015-02,3,5
2015-03,2,7
2015-04,2,9
2015-05,6,15
2015-06,2,17
2015-07,1,18
2015-08,1,19
2015-10,3,22
2015-11,1,23
2015-12,1,24
2016-01,3,27
2016-02,2,29
2016-03,3,32
2016-04,5,37
2016-05,3,40
2016-06,2,42
2016-08,3,45
2016-09,1,46
2016-10,4,50
2016-11,3,53
2016-12,4,57
2017-01,2,59
2017-02,3,62
2017-06,1,63
2017-09,1,64
2017-11,2,66
2017-12,1,67
2018-03,2,69
2018-05,1,70
2018-09,3,73
2018-11,3,76
2019-01,2,78
2019-03,2,80
2019-04,2,82
2019-06,2,84
2019-07,1,85
2019-10,3,88
2019-12,1,89
2020-01,1,90
2020-02,2,92
2020-04,2,94
2020-05,1,95
2020-09,1,96
2020-11,1,97
2021-04,1,98
2021-05,1,99
2021-06,2,101
2021-09,1,102
2021-10,1,103
2021-11,2,105
2022-01,1,106
2022-03,2,108
2022-05,1,109
2022-10,1,110
2023-02,1,111
2023-07,1,112
2023-08,3,115
2023-09,1,116
2023-10,2,118
2023-11,1,119
2024-01,1,120
2024-02,1,121
2024-03,2,123
2024-04,1,124
2024-05,2,126
2024-08,2,128
2024-09,8,136
2024-10,3,139
