Date,Monthly Value,Accumulated Value
2015-01,905,905
2015-02,295,1200
2015-03,41,1241
2015-04,68,1309
2015-05,5,1314
2015-06,3846,5160
2015-07,23798,28958
2015-08,1192,30150
2015-09,40587,70737
2015-10,1102,71839
2015-11,817,72656
2015-12,101,72757
2016-01,81,72838
2016-02,12,72850
2016-03,105,72955
2016-04,28,72983
2016-05,189,73172
2016-06,41,73213
2016-07,213,73426
2016-08,41,73467
2016-09,486,73953
2016-10,453,74406
2016-11,74,74480
2016-12,49,74529
2017-01,44,74573
2017-02,906,75479
2017-03,3699,79178
2017-04,361,79539
2017-05,2052,81591
2017-06,780,82371
2017-07,603,82974
2017-08,594,83568
2017-09,7640,91208
2017-10,896,92104
2017-11,915,93019
2017-12,1146,94165
2018-02,699,94864
2018-03,256,95120
2018-04,259,95379
2018-05,424,95803
2018-06,509,96312
2018-07,607,96919
2018-08,204,97123
2018-09,25,97148
2018-10,1700,98848
2018-11,92,98940
2018-12,128,99068
2019-01,105,99173
2019-02,44717,143890
2019-03,1477,145367
2019-04,336,145703
2019-05,2404,148107
2019-06,2640,150747
2019-07,488,151235
2019-08,48,151283
2019-09,29,151312
2019-10,571,151883
2019-11,118,152001
2019-12,214,152215
2020-01,971,153186
2020-02,210,153396
2020-03,493,153889
2020-04,1123,155012
2020-05,115333,270345
2020-06,23,270368
2020-07,77,270445
2020-08,25,270470
2020-09,1992,272462
2020-10,282,272744
2020-11,952,273696
2020-12,869,274565
2021-01,879,275444
2021-02,296,275740
2021-03,701,276441
2021-04,198,276639
2021-05,544,277183
2021-06,419,277602
2021-07,383,277985
2021-08,237,278222
2021-09,188,278410
2021-10,91,278501
2021-11,241,278742
2021-12,445,279187
2022-01,609,279796
2022-02,461,280257
2022-03,563,280820
2022-04,524,281344
2022-05,99,281443
2022-06,288,281731
2022-07,1032,282763
2022-08,929,283692
2022-09,437,284129
2022-10,1133,285262
2022-11,478,285740
2022-12,1144,286884
2023-01,987,287871
2023-02,759,288630
2023-03,498,289128
2023-04,45,289173
2023-05,84,289257
2023-06,130,289387
2023-07,256,289643
2023-08,444,290087
2023-09,62,290149
2023-10,2784,292933
2023-11,5300,298233
2023-12,2219,300452
2024-01,97,300549
2024-02,20,300569
2024-03,143,300712
2024-04,143,300855
2024-05,79,300934
2024-06,118,301052
2024-07,305,301357
2024-08,550,301907
2024-09,1774,303681
2024-10,5331,309012
