Date,Monthly Value,Accumulated Value
2015-01,2,2
2015-02,2,4
2015-03,3,7
2015-04,8,15
2015-05,3,18
2015-06,3,21
2015-07,2,23
2015-08,4,27
2015-09,2,29
2015-10,1,30
2015-11,2,32
2015-12,4,36
2016-01,1,37
2016-02,3,40
2016-03,2,42
2016-04,2,44
2016-05,1,45
2016-06,4,49
2016-07,2,51
2016-08,4,55
2016-09,1,56
2016-10,4,60
2016-11,3,63
2016-12,1,64
2017-01,5,69
2017-02,6,75
2017-03,1,76
2017-04,6,82
2017-05,3,85
2017-06,9,94
2017-07,3,97
2017-08,8,105
2017-09,1,106
2017-10,2,108
2017-11,4,112
2018-01,2,114
2018-02,1,115
2018-03,1,116
2018-04,4,120
2018-05,2,122
2018-06,5,127
2018-07,2,129
2018-08,5,134
2018-09,2,136
2018-10,2,138
2018-11,2,140
2018-12,4,144
2019-01,1,145
2019-02,1,146
2019-03,3,149
2019-04,1,150
2019-05,9,159
2019-06,3,162
2019-07,2,164
2019-08,2,166
2019-09,4,170
2019-10,3,173
2019-11,1,174
2019-12,2,176
2020-01,7,183
2020-02,4,187
2020-03,4,191
2020-04,8,199
2020-05,25,224
2020-06,3,227
2020-08,2,229
2020-09,2,231
2020-10,6,237
2020-11,3,240
2020-12,7,247
2021-01,6,253
2021-02,2,255
2021-03,5,260
2021-04,19,279
2021-05,9,288
2021-06,4,292
2021-07,18,310
2021-08,4,314
2021-09,7,321
2021-10,7,328
2021-11,9,337
2021-12,7,344
2022-01,5,349
2022-02,13,362
2022-03,7,369
2022-04,12,381
2022-05,14,395
2022-06,5,400
2022-07,4,404
2022-08,11,415
2022-09,6,421
2022-10,2,423
2022-11,2,425
2022-12,4,429
2023-01,6,435
2023-02,10,445
2023-03,7,452
2023-04,5,457
2023-05,8,465
2023-06,4,469
2023-07,4,473
2023-09,7,480
2023-10,10,490
2023-11,23,513
2023-12,10,523
2024-01,7,530
2024-02,8,538
2024-03,1,539
2024-05,1,540
2024-07,27,567
2024-08,4,571
2024-09,5,576
2024-10,6,582
