Date,Monthly Value,Accumulated Value
2016-06,232,232
2016-07,164,396
2016-09,217,613
2016-10,255,868
2016-11,1416,2284
2017-02,261,2545
2017-04,1237,3782
2017-05,78,3860
2017-06,4326,8186
2017-07,639,8825
2017-08,299,9124
2017-09,2168,11292
2017-10,1,11293
2017-11,126,11419
2017-12,8,11427
2018-01,6176,17603
2018-02,424,18027
2018-03,32,18059
2018-04,53,18112
2018-05,41,18153
2018-06,205,18358
2018-07,360,18718
2018-10,106,18824
2018-11,226,19050
2018-12,48,19098
2019-01,324,19422
2019-02,333,19755
2019-03,462,20217
2019-04,682,20899
2019-05,667,21566
2019-06,299,21865
2019-07,1215,23080
2019-08,50,23130
2019-09,802,23932
2019-10,500,24432
2019-11,2722,27154
2019-12,1058,28212
2020-01,5193,33405
2020-02,1924,35329
2020-03,1475,36804
2020-04,4234,41038
2020-05,901,41939
2020-06,9312,51251
2020-07,127,51378
2020-08,14,51392
2020-09,640,52032
2020-10,36,52068
2020-11,2,52070
2020-12,1872,53942
2021-01,360,54302
2021-02,114,54416
2021-03,1058,55474
2021-04,101,55575
2021-05,43,55618
2021-06,6,55624
2021-08,34,55658
2021-09,453,56111
2021-10,293,56404
2021-11,5671,62075
2021-12,562,62637
2022-02,12,62649
2022-03,8,62657
2022-05,97,62754
2022-06,764,63518
2022-08,3,63521
2022-11,2,63523
2022-12,131,63654
2023-01,1565,65219
2023-02,3153,68372
2023-03,31556,99928
2023-06,1,99929
2023-07,2,99931
2023-08,216,100147
2023-10,29293,129440
2023-11,228,129668
2023-12,66587,196255
2024-01,8633,204888
2024-02,4,204892
2024-03,139,205031
2024-04,5715,210746
2024-05,2636,213382
2024-06,197,213579
2024-07,3380,216959
2024-08,54,217013
2024-09,4049,221062
2024-10,243,221305
