Date,Monthly Value,Accumulated Value
2015-12,11,11
2016-01,431,442
2016-02,63,505
2016-03,166,671
2016-04,696,1367
2016-05,1,1368
2016-06,877,2245
2016-08,2,2247
2016-11,1,2248
2017-01,2723,4971
2017-02,2723,7694
2017-03,2,7696
2018-06,6,7702
2019-05,1404,9106
2019-06,24,9130
2019-08,33453,42583
2019-12,68,42651
2020-01,290,42941
2020-03,11,42952
2020-04,14,42966
2020-07,5,42971
2020-09,37,43008
2020-10,2835,45843
2020-11,6912,52755
2021-05,1579,54334
2021-06,774,55108
2022-02,825,55933
2022-03,837,56770
2022-04,837,57607
2022-07,1682,59289
2022-10,7900,67189
2022-11,1367,68556
2022-12,869,69425
2023-01,4857,74282
2023-05,4633,78915
2024-02,12,78927
