Date,Monthly Value,Accumulated Value
2015-07,6,6
2015-09,7,13
2015-10,2,15
2015-11,5,20
2015-12,7,27
2016-01,1,28
2016-02,1,29
2016-03,4,33
2016-04,2,35
2016-05,3,38
2016-06,5,43
2016-07,2,45
2016-09,3,48
2016-11,3,51
2016-12,5,56
2017-01,2,58
2017-02,7,65
2017-03,8,73
2017-04,4,77
2017-05,1,78
2017-06,12,90
2017-07,1,91
2017-08,4,95
2017-09,4,99
2017-10,2,101
2017-11,3,104
2018-01,4,108
2018-02,5,113
2018-03,4,117
2018-04,5,122
2018-05,9,131
2018-06,6,137
2018-08,6,143
2018-09,4,147
2018-10,7,154
2018-11,10,164
2018-12,3,167
2019-01,2,169
2019-02,3,172
2019-03,9,181
2019-04,7,188
2019-05,9,197
2019-06,16,213
2019-07,10,223
2019-08,8,231
2019-09,9,240
2019-10,8,248
2019-11,10,258
2019-12,11,269
2020-01,3,272
2020-02,8,280
2020-03,2,282
2020-04,8,290
2020-05,6,296
2020-06,9,305
2020-07,7,312
2020-08,4,316
2020-09,3,319
2020-10,11,330
2020-11,2,332
2020-12,12,344
2021-01,13,357
2021-02,3,360
2021-03,3,363
2021-04,7,370
2021-05,2,372
2021-06,2,374
2021-07,3,377
2021-08,4,381
2021-09,6,387
2021-10,5,392
2021-11,5,397
2021-12,3,400
2022-01,1,401
2022-02,5,406
2022-03,5,411
2022-04,1,412
2022-05,6,418
2022-06,7,425
2022-07,3,428
2022-08,8,436
2022-09,4,440
2022-10,2,442
2022-11,6,448
2022-12,3,451
2023-01,5,456
2023-02,8,464
2023-03,3,467
2023-04,1,468
2023-05,8,476
2023-06,2,478
2023-07,3,481
2023-08,6,487
2023-09,1,488
2023-10,6,494
2023-11,4,498
2023-12,4,502
2024-01,1,503
2024-02,3,506
2024-03,6,512
2024-04,3,515
2024-05,5,520
2024-06,5,525
2024-07,4,529
2024-08,4,533
2024-09,2,535
2024-10,6,541
