Date,Monthly Value,Accumulated Value
2021-11,120,120
2021-12,193,313
2022-01,298,611
2022-02,279,890
2022-03,245,1135
2022-04,286,1421
2022-05,228,1649
2022-06,270,1919
2022-07,214,2133
2022-08,330,2463
2022-09,265,2728
2022-10,246,2974
2022-11,228,3202
2022-12,207,3409
2023-01,274,3683
2023-02,285,3968
2023-03,1314,5282
2023-04,225,5507
2023-05,250,5757
2023-06,280,6037
2023-07,270,6307
2023-08,268,6575
2023-09,250,6825
2023-10,338,7163
2023-11,284,7447
2023-12,215,7662
2024-01,364,8026
2024-02,263,8289
2024-03,346,8635
2024-04,378,9013
2024-05,392,9405
2024-06,380,9785
2024-07,381,10166
2024-08,307,10473
2024-09,399,10872
2024-10,464,11336
