Date,Monthly Value,Accumulated Value
2015-08,10,10
2015-09,4,14
2015-10,3,17
2015-11,9,26
2015-12,2,28
2016-01,6,34
2016-02,10,44
2016-03,11,55
2016-04,4,59
2016-05,19,78
2016-06,12,90
2016-07,21,111
2016-08,31,142
2016-09,27,169
2016-10,38,207
2016-11,34,241
2016-12,26,267
2017-01,59,326
2017-02,46,372
2017-03,94,466
2017-04,106,572
2017-05,348,920
2017-06,294,1214
2017-07,221,1435
2017-08,220,1655
2017-09,202,1857
2017-10,166,2023
2017-11,354,2377
2017-12,213,2590
2018-01,179,2769
2018-02,171,2940
2018-03,203,3143
2018-04,192,3335
2018-05,163,3498
2018-06,134,3632
2018-07,148,3780
2018-08,163,3943
2018-09,191,4134
2018-10,324,4458
2018-11,548,5006
2018-12,235,5241
2019-01,202,5443
2019-02,197,5640
2019-03,212,5852
2019-04,178,6030
2019-05,282,6312
2019-06,217,6529
2019-07,176,6705
2019-08,173,6878
2019-09,177,7055
2019-10,160,7215
2019-11,166,7381
2019-12,201,7582
2020-01,234,7816
2020-02,196,8012
2020-03,194,8206
2020-04,185,8391
2020-05,200,8591
2020-06,257,8848
2020-07,169,9017
2020-08,165,9182
2020-09,202,9384
2020-10,188,9572
2020-11,165,9737
2020-12,227,9964
2021-01,152,10116
2021-02,147,10263
2021-03,187,10450
2021-04,186,10636
2021-05,187,10823
2021-06,150,10973
2021-07,158,11131
2021-08,147,11278
2021-09,170,11448
2021-10,178,11626
2021-11,189,11815
2021-12,202,12017
2022-01,180,12197
2022-02,180,12377
2022-03,169,12546
2022-04,249,12795
2022-05,166,12961
2022-06,139,13100
2022-07,153,13253
2022-08,143,13396
2022-09,162,13558
2022-10,124,13682
2022-11,128,13810
2022-12,155,13965
2023-01,169,14134
2023-02,145,14279
2023-03,141,14420
2023-04,159,14579
2023-05,127,14706
2023-06,144,14850
2023-07,124,14974
2023-08,133,15107
2023-09,113,15220
2023-10,118,15338
2023-11,139,15477
2023-12,123,15600
2024-01,127,15727
2024-02,133,15860
2024-03,135,15995
2024-04,124,16119
2024-05,157,16276
2024-06,141,16417
2024-07,213,16630
2024-08,150,16780
2024-09,145,16925
2024-10,176,17101
