Date,Monthly Value,Accumulated Value
2017-11,1,1
2018-02,1,2
2018-03,10,12
2018-04,3,15
2018-05,3,18
2018-06,2,20
2018-07,11,31
2018-08,4,35
2018-09,8,43
2018-10,17,60
2018-11,16,76
2018-12,6,82
2019-01,5,87
2019-02,2,89
2019-03,10,99
2019-04,8,107
2019-05,9,116
2019-06,4,120
2019-08,2,122
2019-09,2,124
2019-10,1,125
2019-11,1,126
2019-12,2,128
2020-01,3,131
2020-02,4,135
2020-03,4,139
2020-06,2,141
2020-08,1,142
2020-09,1,143
2020-11,1,144
2021-05,2,146
2021-06,3,149
2021-08,1,150
2022-01,1,151
2022-04,1,152
2023-11,2,154
2024-10,1,155
