Date,Monthly Value,Accumulated Value
2017-11,2,2
2017-12,3,5
2018-01,6,11
2018-02,4,15
2018-03,7,22
2018-04,5,27
2018-05,14,41
2018-06,13,54
2018-07,13,67
2018-08,15,82
2018-09,11,93
2018-10,13,106
2018-11,13,119
2018-12,7,126
2019-01,8,134
2019-02,7,141
2019-03,8,149
2019-04,10,159
2019-05,10,169
2019-06,8,177
2019-07,8,185
2019-08,7,192
2019-09,4,196
2019-10,9,205
2019-11,10,215
2019-12,4,219
2020-01,6,225
2020-02,9,234
2020-03,9,243
2020-04,6,249
2020-05,5,254
2020-06,9,263
2020-07,5,268
2020-08,9,277
2020-09,6,283
2020-10,6,289
2020-11,5,294
2020-12,2,296
2021-01,4,300
2021-02,4,304
2021-03,4,308
2021-05,9,317
2021-06,3,320
2021-07,1,321
2021-08,1,322
2021-09,3,325
2021-11,3,328
2021-12,2,330
2022-01,7,337
2022-02,3,340
2022-03,3,343
2022-04,3,346
2022-05,2,348
2022-06,5,353
2022-07,5,358
2022-08,1,359
2022-09,2,361
2022-10,1,362
2022-12,2,364
2023-01,3,367
2023-02,2,369
2023-11,4,373
2023-12,2,375
2024-02,1,376
2024-03,3,379
2024-04,1,380
2024-05,1,381
2024-08,1,382
2024-10,1,383
