Date,Monthly Value,Accumulated Value
2019-04,4,4
2019-05,7,11
2019-06,11,22
2019-07,3,25
2019-11,3,28
2020-04,28,56
2020-05,25,81
2020-08,16,97
2020-10,3,100
2020-11,331,431
2020-12,334,765
2021-01,33,798
2021-02,10,808
2021-03,172,980
2021-04,341,1321
2021-05,80,1401
2021-06,160,1561
2021-07,72,1633
2021-08,6,1639
2021-09,35,1674
2021-10,9,1683
2021-11,2,1685
2022-02,1274,2959
2022-03,8,2967
2022-04,6,2973
2022-05,8,2981
2022-06,153,3134
2022-07,12,3146
2022-09,2938,6084
2022-10,14,6098
2022-11,35434,41532
2022-12,282,41814
2023-01,18303,60117
2023-02,1559,61676
2023-03,1446,63122
2023-04,33,63155
2023-07,4,63159
2023-08,8,63167
2023-09,16,63183
2023-10,3269,66452
2023-11,245,66697
2023-12,376,67073
2024-01,478,67551
2024-02,4052,71603
2024-03,22221,93824
2024-04,56544,150368
2024-05,4712,155080
2024-06,51857,206937
2024-07,4718,211655
2024-08,2498,214153
2024-09,1421,215574
2024-10,18603,234177
