Date,Monthly Value,Accumulated Value
2018-05,2838,2838
2018-06,10391,13229
2018-07,3186,16415
2018-08,15818,32233
2018-09,30876,63109
2018-10,5778,68887
2018-11,19455,88342
2018-12,19411,107753
2019-01,7373,115126
2019-02,13952,129078
2019-03,11537,140615
2019-04,12133,152748
2019-05,19347,172095
2019-06,4434,176529
2019-07,15918,192447
2019-08,7830,200277
2019-09,-14713,185564
2019-10,31392,216956
2019-11,12497,229453
2019-12,49150,278603
2020-01,4124,282727
2020-02,9962,292689
2020-03,27225,319914
2020-04,10025,329939
2020-05,-7129,322810
2020-06,-24322,298488
2020-07,-25565,272923
2020-08,3196,276119
2020-09,8351,284470
2020-10,8865,293335
2020-11,3776,297111
2020-12,11315,308426
2021-01,5215,313641
2021-02,12395,326036
2021-03,24434,350470
2021-04,12953,363423
2021-05,11232,374655
2021-06,48701,423356
2021-07,83710,507066
2021-08,42272,549338
2021-09,34785,584123
2021-10,17745,601868
2021-11,10925,612793
2021-12,9217,622010
2022-01,-1267,620743
2022-02,5007,625750
2022-03,11703,637453
2022-04,12102,649555
2022-05,36914,686469
2022-06,6694,693163
2022-07,6549,699712
2022-08,9263,708975
2022-09,8968,717943
2022-10,-2374,715569
2022-11,61980,777549
2022-12,27352,804901
2023-01,60496,865397
2023-02,42682,908079
2023-03,22141,930220
2023-04,14899,945119
2023-05,12557,957676
2023-06,10310,967986
2023-07,7878,975864
2023-08,16535,992399
2023-09,8033,1000432
2023-10,5945,1006377
2023-11,15857,1022234
2023-12,6233,1028467
2024-01,15750,1044217
2024-02,7256,1051473
2024-03,10196,1061669
2024-04,6090,1067759
2024-05,7073,1074832
2024-06,6893,1081725
2024-07,13573,1095298
2024-08,13177,1108475
2024-09,8762,1117237
2024-10,6181,1123418
