Date,Monthly Value,Accumulated Value
2019-04,1,1
2019-05,753,754
2019-06,9,763
2019-07,2,765
2019-08,136,901
2019-09,13,914
2019-11,60,974
2019-12,461,1435
2020-01,707,2142
2020-02,102,2244
2020-03,25,2269
2020-04,21,2290
2020-05,11910,14200
2020-06,10825,25025
2020-07,8872,33897
2020-08,188,34085
2020-09,669,34754
2020-10,113,34867
2020-11,483,35350
2020-12,233,35583
2021-01,1226,36809
2021-02,322,37131
2021-03,654,37785
2021-04,167,37952
2021-05,3059,41011
2021-06,1775,42786
2021-07,2073,44859
2021-08,6937,51796
2021-09,282,52078
2021-10,11,52089
2021-11,667,52756
2021-12,838,53594
2022-01,312,53906
2022-02,23,53929
2022-03,3973,57902
2022-04,35,57937
2022-05,512,58449
2022-06,321,58770
2022-07,185,58955
2022-08,92,59047
2022-09,927,59974
2022-10,584,60558
2022-11,5162,65720
2022-12,1029,66749
2023-01,1268,68017
2023-02,116,68133
2023-03,2151,70284
2023-04,272,70556
2023-05,1857,72413
2023-06,293,72706
2023-07,906,73612
2023-08,183,73795
2023-09,48,73843
2023-10,155,73998
2023-11,136,74134
2023-12,1496,75630
2024-01,621,76251
2024-02,185,76436
2024-03,4668,81104
2024-04,399,81503
2024-05,1325,82828
2024-06,43,82871
2024-07,34,82905
2024-08,61,82966
2024-09,245,83211
2024-10,281,83492
