Date,Monthly Value,Accumulated Value
2015-02,5601,5601
2015-03,292,5893
2015-05,221,6114
2015-06,313,6427
2015-07,1524,7951
2015-08,358,8309
2015-09,20,8329
2015-10,659,8988
2015-11,82,9070
2015-12,24,9094
2016-01,9,9103
2016-02,29,9132
2016-03,81,9213
2016-04,1,9214
2016-06,7,9221
2016-07,226,9447
2016-08,1,9448
2016-09,9,9457
2016-10,5,9462
2016-12,260,9722
2017-01,111,9833
2017-02,5,9838
2017-03,80,9918
2017-04,181,10099
2017-05,5,10104
2017-06,45,10149
2017-07,8076,18225
2017-08,12,18237
2017-10,83,18320
2017-11,20,18340
2017-12,236,18576
2018-01,1,18577
2018-02,140,18717
2018-03,1,18718
2018-04,202,18920
2018-05,230,19150
2018-06,163,19313
2018-07,15,19328
2018-08,34,19362
2018-10,4841,24203
2018-11,3,24206
2018-12,5231,29437
2019-01,14,29451
2019-02,3,29454
2019-03,10,29464
2019-04,6,29470
2019-05,3,29473
2019-06,78,29551
2019-07,673,30224
2019-11,2,30226
2020-02,19,30245
2020-03,2,30247
2020-04,424,30671
2020-05,64,30735
2020-06,2,30737
2020-07,1,30738
2020-10,18,30756
2021-01,2,30758
2021-02,110,30868
2021-03,1,30869
2021-04,1,30870
2021-06,47369,78239
2021-12,3,78242
2022-03,19793,98035
2022-04,431,98466
2022-05,1,98467
2022-06,1,98468
2022-07,96004,194472
2022-11,2,194474
2023-01,11,194485
2023-06,1,194486
2023-09,165,194651
2023-10,499,195150
2024-01,7,195157
2024-03,26618,221775
2024-06,1,221776
