Date,Monthly Value,Accumulated Value
2015-01,4,4
2015-02,5,9
2015-03,5,14
2015-04,11,25
2015-05,3,28
2015-06,14,42
2015-07,15,57
2015-08,12,69
2015-09,7,76
2015-10,8,84
2015-11,11,95
2015-12,12,107
2016-01,12,119
2016-02,6,125
2016-03,25,150
2016-04,16,166
2016-05,9,175
2016-06,10,185
2016-07,13,198
2016-08,11,209
2016-09,9,218
2016-10,10,228
2016-11,9,237
2016-12,13,250
2017-01,19,269
2017-02,12,281
2017-03,9,290
2017-04,4,294
2017-05,12,306
2017-06,18,324
2017-07,14,338
2017-08,17,355
2017-09,14,369
2017-10,14,383
2017-11,22,405
2017-12,11,416
2018-01,16,432
2018-02,20,452
2018-03,14,466
2018-04,7,473
2018-05,13,486
2018-06,9,495
2018-07,10,505
2018-08,11,516
2018-09,11,527
2018-10,7,534
2018-11,9,543
2018-12,12,555
2019-01,7,562
2019-02,12,574
2019-03,5,579
2019-04,11,590
2019-05,12,602
2019-06,4,606
2019-07,11,617
2019-08,6,623
2019-09,14,637
2019-10,2,639
2019-11,10,649
2019-12,12,661
2020-01,6,667
2020-02,14,681
2020-03,6,687
2020-04,11,698
2020-05,3,701
2020-06,6,707
2020-07,7,714
2020-08,5,719
2020-09,5,724
2020-10,2,726
2020-11,6,732
2020-12,4,736
2021-01,2,738
2021-02,3,741
2021-03,3,744
2021-04,4,748
2021-05,5,753
2021-06,5,758
2021-07,6,764
2021-08,5,769
2021-09,5,774
2021-12,10,784
2022-01,6,790
2022-02,3,793
2022-03,2,795
2022-04,7,802
2022-05,2,804
2022-06,1,805
2022-07,1,806
2022-08,5,811
2022-09,1,812
2022-10,3,815
2022-11,5,820
2022-12,1,821
2023-01,1,822
2023-02,2,824
2023-03,1,825
2023-04,1,826
2023-05,3,829
2023-06,3,832
2023-07,2,834
2023-11,2,836
2023-12,3,839
2024-01,1,840
2024-02,1,841
2024-03,1,842
2024-06,2,844
2024-07,3,847
