Date,Monthly Value,Accumulated Value
2015-01,5,5
2015-02,5,10
2015-03,5,15
2015-04,8,23
2015-05,4,27
2015-06,4,31
2015-07,3,34
2015-08,3,37
2015-09,2,39
2015-10,2,41
2015-11,3,44
2016-01,1,45
2016-02,3,48
2016-03,4,52
2016-04,2,54
2016-05,3,57
2016-06,5,62
2016-07,6,68
2016-08,4,72
2016-09,5,77
2016-10,1,78
2016-11,4,82
2016-12,7,89
2017-01,3,92
2017-02,7,99
2017-03,7,106
2017-04,2,108
2017-05,2,110
2017-06,2,112
2017-07,2,114
2017-08,3,117
2017-09,5,122
2017-10,1,123
2017-11,3,126
2017-12,6,132
2018-01,5,137
2018-02,2,139
2018-03,7,146
2018-04,2,148
2018-05,3,151
2018-06,5,156
2018-07,1,157
2018-08,5,162
2018-09,6,168
2018-10,2,170
2018-11,1,171
2018-12,1,172
2019-01,3,175
2019-02,1,176
2019-03,2,178
2019-04,2,180
2019-05,2,182
2019-06,4,186
2019-07,1,187
2019-08,5,192
2019-10,3,195
2019-11,2,197
2019-12,4,201
2020-01,5,206
2020-02,2,208
2020-03,4,212
2020-04,2,214
2020-05,4,218
2020-06,4,222
2020-07,4,226
2020-08,7,233
2020-09,3,236
2020-10,3,239
2020-11,2,241
2020-12,2,243
2021-01,3,246
2021-02,3,249
2021-03,2,251
2021-04,2,253
2021-05,2,255
2021-06,2,257
2021-07,3,260
2021-08,2,262
2021-09,2,264
2021-10,2,266
2021-11,2,268
2021-12,3,271
2022-01,3,274
2022-02,4,278
2022-03,3,281
2022-04,3,284
2022-05,2,286
2022-06,2,288
2022-07,4,292
2022-08,3,295
2022-09,6,301
2022-10,2,303
2022-11,2,305
2022-12,2,307
2023-01,2,309
2023-02,3,312
2023-03,4,316
2023-04,4,320
2023-05,4,324
2023-06,3,327
2023-07,4,331
2023-08,4,335
2023-09,4,339
2023-10,5,344
2023-11,3,347
2023-12,4,351
2024-01,3,354
2024-02,3,357
2024-03,4,361
2024-04,3,364
2024-05,5,369
2024-06,3,372
2024-07,3,375
2024-08,3,378
2024-09,3,381
2024-10,6,387
