Date,Monthly Value,Accumulated Value
2015-01,1801,1801
2015-02,2822,4623
2015-03,1318,5941
2015-04,59,6000
2015-05,113,6113
2015-06,109,6222
2015-07,257,6479
2015-08,12,6491
2015-09,63,6554
2015-10,32,6586
2015-11,448,7034
2016-01,290,7324
2016-02,59574,66898
2016-03,41,66939
2016-04,18,66957
2016-05,234,67191
2016-06,546,67737
2016-07,22,67759
2016-08,110,67869
2016-09,19334,87203
2016-10,34,87237
2016-11,11,87248
2016-12,607,87855
2017-01,266,88121
2017-02,1204,89325
2017-03,42,89367
2017-04,30,89397
2017-05,677,90074
2017-06,6,90080
2017-07,2440,92520
2017-08,29,92549
2017-09,679,93228
2017-10,750,93978
2017-11,973,94951
2017-12,1154,96105
2018-01,347,96452
2018-02,5781,102233
2018-03,2234,104467
2018-04,171,104638
2018-05,21,104659
2018-06,226,104885
2018-08,37,104922
2018-09,26,104948
2018-10,193,105141
2018-11,48,105189
2018-12,11,105200
2019-01,3060,108260
2019-02,31,108291
2019-03,636,108927
2019-04,31,108958
2019-05,765,109723
2019-06,1179,110902
2019-07,3396,114298
2019-08,71,114369
2019-10,58,114427
2019-11,46,114473
2019-12,271,114744
2020-01,3229,117973
2020-02,24,117997
2020-03,57,118054
2020-04,112,118166
2020-05,201,118367
2020-06,21,118388
2020-07,38310,156698
2020-08,1313,158011
2020-09,800,158811
2020-10,1642,160453
2020-11,30982,191435
2020-12,31933,223368
2021-01,7258,230626
2021-02,1859,232485
2021-03,1183,233668
2021-04,2428,236096
2021-05,24362,260458
2021-06,1616,262074
2021-07,12176,274250
2021-08,594,274844
2021-09,10676,285520
2021-10,291,285811
2021-11,2716,288527
2021-12,4155,292682
2022-01,1500,294182
2022-02,3077,297259
2022-03,3423,300682
2022-04,11887,312569
2022-05,4727,317296
2022-06,2645,319941
2022-07,1240,321181
2022-08,13285,334466
2022-09,7241,341707
2022-10,10399,352106
2022-11,12636,364742
2022-12,1101,365843
2023-01,3126,368969
2023-02,275,369244
2023-03,1653,370897
2023-04,3700,374597
2023-05,28284,402881
2023-06,1605,404486
2023-07,3083,407569
2023-08,10815,418384
2023-09,9098,427482
2023-10,12095,439577
2023-11,17105,456682
2023-12,22210,478892
2024-01,2426,481318
2024-02,67674,548992
2024-03,132183,681175
2024-04,20847,702022
2024-05,79280,781302
2024-06,7639,788941
2024-07,33948,822889
2024-08,3699,826588
2024-09,3784,830372
2024-10,6973,837345
