Date,Monthly Value,Accumulated Value
2015-02,1,1
2015-04,1,2
2015-06,2,4
2015-07,2,6
2015-08,1,7
2015-09,4,11
2015-11,2,13
2015-12,1,14
2016-01,1,15
2016-02,4,19
2016-03,5,24
2016-04,2,26
2016-07,4,30
2016-08,3,33
2016-09,2,35
2016-10,2,37
2016-11,2,39
2016-12,2,41
2017-01,6,47
2017-03,2,49
2017-04,7,56
2017-05,7,63
2017-06,1,64
2017-07,2,66
2017-08,3,69
2017-09,3,72
2017-10,3,75
2017-11,2,77
2017-12,5,82
2018-01,4,86
2018-02,5,91
2018-03,3,94
2018-04,1,95
2018-05,2,97
2018-06,3,100
2018-07,3,103
2018-08,2,105
2018-09,3,108
2018-10,5,113
2018-11,1,114
2018-12,1,115
2019-01,2,117
2019-02,1,118
2019-03,5,123
2019-04,1,124
2019-05,2,126
2019-06,2,128
2019-07,2,130
2019-08,3,133
2019-09,2,135
2019-10,3,138
2019-11,2,140
2019-12,1,141
2020-01,1,142
2020-02,1,143
2020-03,1,144
2020-04,1,145
2020-05,2,147
2020-06,1,148
2020-07,1,149
2020-08,1,150
2020-10,1,151
2020-11,1,152
2020-12,2,154
2021-01,2,156
2021-02,1,157
2021-03,4,161
2021-04,1,162
2021-06,3,165
2021-07,1,166
2021-09,1,167
2021-11,1,168
2022-01,1,169
2022-02,1,170
2022-03,2,172
2022-05,3,175
2022-07,1,176
2022-08,2,178
2022-09,2,180
2022-11,3,183
2023-11,1,184
2024-03,1,185
