Date,Monthly Value,Accumulated Value
2015-01,10,10
2015-02,1,11
2015-03,1,12
2015-05,2,14
2015-06,3,17
2015-09,2,19
2015-10,1,20
2015-11,4,24
2015-12,3,27
2016-01,2,29
2016-04,5,34
2016-05,1,35
2016-06,2,37
2016-08,4,41
2016-09,2,43
2016-11,2,45
2016-12,1,46
2017-01,2,48
2017-02,1,49
2017-03,3,52
2017-05,3,55
2017-06,2,57
2017-07,5,62
2017-08,1,63
2017-09,2,65
2017-10,3,68
2017-11,1,69
2017-12,1,70
2018-01,1,71
2018-04,1,72
2018-05,1,73
2018-08,1,74
2018-09,1,75
2018-10,2,77
2018-11,2,79
2019-02,4,83
2019-04,1,84
2019-05,2,86
2019-07,1,87
2019-12,1,88
2020-01,2,90
2020-03,2,92
2020-05,2,94
2020-06,3,97
2020-07,1,98
2020-08,1,99
2021-01,1,100
2021-04,2,102
2021-06,2,104
2021-10,2,106
2021-11,2,108
2021-12,1,109
2022-01,1,110
2022-03,2,112
2022-04,2,114
2022-06,2,116
2022-07,1,117
2022-08,1,118
2023-10,2,120
2024-03,1,121
2024-05,2,123
2024-06,1,124
