Date,Monthly Value,Accumulated Value
2015-01,119578,119578
2015-02,45714,165292
2015-03,14218,179510
2015-04,35440,214950
2015-05,37989,252939
2015-06,16336,269275
2015-07,127453,396728
2015-08,101930,498658
2015-09,17087,515745
2015-10,35637,551382
2015-11,40689,592071
2015-12,78166,670237
2016-01,30279,700516
2016-02,16799,717315
2016-03,48532,765847
2016-04,38935,804782
2016-05,23635,828417
2016-06,64553,892970
2016-07,17717,910687
2016-08,57921,968608
2016-09,37607,1006215
2016-10,68750,1074965
2016-11,111278,1186243
2016-12,9964,1196207
2017-01,216862,1413069
2017-02,118289,1531358
2017-03,335551,1866909
2017-04,15189,1882098
2017-05,19130,1901228
2017-06,227867,2129095
2017-07,271597,2400692
2017-08,14076,2414768
2017-09,134263,2549031
2017-10,358824,2907855
2017-11,123251,3031106
2017-12,27877,3058983
2018-01,327938,3386921
2018-02,6922,3393843
2018-03,122842,3516685
2018-04,28337,3545022
2018-05,124082,3669104
2018-06,4636,3673740
2018-07,12711,3686451
2018-08,9080,3695531
2018-09,10679,3706210
2018-10,9910,3716120
2018-11,137161,3853281
2018-12,16902,3870183
2019-01,86512,3956695
2019-02,42645,3999340
2019-03,68332,4067672
2019-04,200697,4268369
2019-05,19346,4287715
2019-06,22280,4309995
2019-07,211463,4521458
2019-08,120156,4641614
2019-09,9046,4650660
2019-10,89751,4740411
2019-11,30782,4771193
2019-12,9764,4780957
2020-01,244229,5025186
2020-02,4442,5029628
2020-03,11591,5041219
2020-04,14724,5055943
2020-05,18296,5074239
2020-06,4389,5078628
2020-07,5491,5084119
2020-08,10356,5094475
2020-09,20852,5115327
2020-10,36459,5151786
2020-11,4669,5156455
2020-12,14589,5171044
2021-01,5621,5176665
2021-02,69276,5245941
2021-03,8817,5254758
2021-04,52355,5307113
2021-05,114008,5421121
2021-06,124071,5545192
2021-07,26392,5571584
2021-08,83250,5654834
2021-09,56974,5711808
2021-10,3620,5715428
2021-11,10003,5725431
2021-12,4558,5729989
2022-01,13587,5743576
2022-02,45038,5788614
2022-03,18310,5806924
2022-04,7962,5814886
2022-05,12254,5827140
2022-06,32057,5859197
2022-07,61918,5921115
2022-08,74853,5995968
2022-09,22910,6018878
2022-10,8038,6026916
2022-11,28288,6055204
2022-12,9384,6064588
2023-01,9803,6074391
2023-02,105255,6179646
2023-03,5427,6185073
2023-04,2493,6187566
2023-05,1580,6189146
2023-06,1848,6190994
2023-07,3693,6194687
2023-08,4182,6198869
2023-09,3896,6202765
2023-10,1385,6204150
2023-11,57309,6261459
2023-12,3063,6264522
2024-01,5273,6269795
2024-02,3724,6273519
2024-03,12139,6285658
2024-04,25437,6311095
2024-05,46864,6357959
2024-06,63369,6421328
2024-07,4062,6425390
2024-08,13582,6438972
2024-09,12657,6451629
2024-10,8300,6459929
