Date,Monthly Value,Accumulated Value
2015-01,94004,94004
2015-02,26580,120584
2015-03,5673,126257
2015-04,21047,147304
2015-05,23390,170694
2015-06,13262,183956
2015-07,83760,267716
2015-08,62123,329839
2015-09,10770,340609
2015-10,14792,355401
2015-11,31132,386533
2015-12,62463,448996
2016-01,20665,469661
2016-02,8406,478067
2016-03,18587,496654
2016-04,31465,528119
2016-05,6939,535058
2016-06,50925,585983
2016-07,10496,596479
2016-08,19476,615955
2016-09,31308,647263
2016-10,56663,703926
2016-11,93943,797869
2016-12,6702,804571
2017-01,83154,887725
2017-02,17300,905025
2017-03,88803,993828
2017-04,12197,1006025
2017-05,14497,1020522
2017-06,69450,1089972
2017-07,80696,1170668
2017-08,7752,1178420
2017-09,-10603,1167817
2017-10,168821,1336638
2017-11,44100,1380738
2017-12,21531,1402269
2018-01,100801,1503070
2018-02,-29338,1473732
2018-03,45329,1519061
2018-04,-56473,1462588
2018-05,46022,1508610
2018-06,2766,1511376
2018-07,-25371,1486005
2018-08,6970,1492975
2018-09,9057,1502032
2018-10,7937,1509969
2018-11,19711,1529680
2018-12,7176,1536856
2019-01,-94101,1442755
2019-02,-6062,1436693
2019-03,-34511,1402182
2019-04,21252,1423434
2019-05,14383,1437817
2019-06,14673,1452490
2019-07,49256,1501746
2019-08,8117,1509863
2019-09,5402,1515265
2019-10,58703,1573968
2019-11,19744,1593712
2019-12,2526,1596238
2020-01,45680,1641918
2020-02,3170,1645088
2020-03,7981,1653069
2020-04,-47179,1605890
2020-05,-150509,1455381
2020-06,3886,1459267
2020-07,3938,1463205
2020-08,8480,1471685
2020-09,10999,1482684
2020-10,15795,1498479
2020-11,2703,1501182
2020-12,7598,1508780
2021-01,3173,1511953
2021-02,57788,1569741
2021-03,3358,1573099
2021-04,-24698,1548401
2021-05,89970,1638371
2021-06,110025,1748396
2021-07,14289,1762685
2021-08,11699,1774384
2021-09,5351,1779735
2021-10,2277,1782012
2021-11,-73812,1708200
2021-12,-61985,1646215
2022-01,2337,1648552
2022-02,13769,1662321
2022-03,-178241,1484080
2022-04,3339,1487419
2022-05,-6571,1480848
2022-06,-31196,1449652
2022-07,17803,1467455
2022-08,30738,1498193
2022-09,1200,1499393
2022-10,-919,1498474
2022-11,26827,1525301
2022-12,8785,1534086
2023-01,6122,1540208
2023-02,61116,1601324
2023-03,-7540,1593784
2023-04,1805,1595589
2023-05,1268,1596857
2023-06,913,1597770
2023-07,2953,1600723
2023-08,3421,1604144
2023-09,2925,1607069
2023-10,1110,1608179
2023-11,30974,1639153
2023-12,2033,1641186
2024-01,4000,1645186
2024-02,2657,1647843
2024-03,10013,1657856
2024-04,17308,1675164
2024-05,36067,1711231
2024-06,50009,1761240
2024-07,3316,1764556
2024-08,8325,1772881
2024-09,8173,1781054
2024-10,6192,1787246
