Date,Monthly Value,Accumulated Value
2016-10,3,3
2016-11,3,6
2016-12,1,7
2017-01,4,11
2017-02,9,20
2017-03,7,27
2017-04,10,37
2017-05,6,43
2017-06,13,56
2017-07,4,60
2017-08,4,64
2017-09,6,70
2017-10,6,76
2017-11,3,79
2017-12,5,84
2018-01,9,93
2018-02,5,98
2018-03,3,101
2018-04,6,107
2018-05,3,110
2018-06,6,116
2018-07,3,119
2018-08,4,123
2018-09,7,130
2018-10,8,138
2018-11,3,141
2018-12,6,147
2019-01,7,154
2019-02,4,158
2019-03,9,167
2019-04,9,176
2019-05,10,186
2019-06,5,191
2019-07,3,194
2019-08,3,197
2019-09,5,202
2019-10,4,206
2019-11,5,211
2019-12,5,216
2020-01,9,225
2020-02,4,229
2020-03,4,233
2020-04,6,239
2020-05,5,244
2020-06,3,247
2020-07,3,250
2020-08,1,251
2020-11,2,253
2020-12,4,257
2021-01,2,259
2021-02,1,260
2021-03,2,262
2021-04,4,266
2021-05,1,267
2021-06,2,269
2021-07,3,272
2021-08,5,277
2021-09,2,279
2021-10,2,281
2021-11,2,283
2022-01,5,288
2022-02,3,291
2022-03,3,294
2022-04,2,296
2022-05,3,299
2022-06,1,300
2022-07,2,302
2022-09,3,305
2022-11,4,309
2022-12,3,312
2023-01,3,315
2023-02,3,318
2023-04,1,319
2023-05,3,322
2023-06,1,323
2023-07,2,325
2023-08,2,327
2023-09,1,328
2023-10,3,331
2023-11,1,332
2024-01,3,335
2024-02,1,336
2024-03,1,337
2024-04,3,340
2024-05,1,341
2024-08,1,342
2024-09,1,343
2024-10,1,344
