Date,Monthly Value,Accumulated Value
2016-07,4,4
2016-08,2,6
2016-09,5,11
2016-10,2,13
2016-11,1,14
2017-01,1,15
2017-02,7,22
2017-03,7,29
2017-04,1,30
2017-06,3,33
2017-07,6,39
2017-08,9,48
2017-09,7,55
2017-10,1,56
2017-11,4,60
2017-12,1,61
2018-01,2,63
2018-03,2,65
2018-04,5,70
2018-05,4,74
2018-06,2,76
2018-07,8,84
2018-08,10,94
2018-10,6,100
2018-11,12,112
2018-12,7,119
2019-01,7,126
2019-03,3,129
2019-04,3,132
2019-05,8,140
2019-06,7,147
2019-07,5,152
2019-08,2,154
2019-10,3,157
2019-11,8,165
2019-12,4,169
2020-01,3,172
2020-02,3,175
2020-03,3,178
2020-04,3,181
2020-05,4,185
2020-06,4,189
2020-07,2,191
2020-08,1,192
2020-09,2,194
2020-10,4,198
2020-11,1,199
2020-12,2,201
2021-01,1,202
2021-02,2,204
2021-03,2,206
2021-04,2,208
2021-05,2,210
2021-06,1,211
2021-07,1,212
2021-09,11,223
2021-11,3,226
2021-12,6,232
2022-01,3,235
2022-03,7,242
2022-04,5,247
2022-05,15,262
2022-06,20,282
2022-07,2,284
2022-08,3,287
2022-09,2,289
2022-10,6,295
2022-11,3,298
2022-12,7,305
2023-01,2,307
2023-02,7,314
2023-03,4,318
2023-04,3,321
2023-05,2,323
2023-06,1,324
2023-07,2,326
2023-08,1,327
2023-10,1,328
2023-11,2,330
2023-12,3,333
2024-01,2,335
2024-02,3,338
2024-03,2,340
2024-04,2,342
2024-06,1,343
2024-08,4,347
2024-09,2,349
2024-10,1,350
