Date,Monthly Value,Accumulated Value
2015-01,2,2
2015-02,1,3
2015-04,2,5
2015-07,1,6
2015-09,2,8
2015-10,1,9
2015-12,2,11
2016-01,16,27
2016-02,9,36
2016-04,2,38
2016-05,2,40
2016-06,2,42
2016-07,2,44
2016-08,3,47
2016-09,1,48
2016-10,1,49
2016-11,4,53
2016-12,6,59
2017-03,1,60
2017-05,2,62
2017-06,1,63
2017-07,2,65
2017-08,1,66
2017-09,2,68
2017-10,28,96
2017-11,32,128
2017-12,16,144
2018-01,18,162
2018-02,4,166
2018-03,5,171
2018-04,2,173
2018-07,1,174
2018-08,4,178
2018-09,1,179
2018-10,10,189
2018-11,1,190
2018-12,2,192
2019-01,1,193
2019-03,5,198
2019-04,12,210
2019-07,2,212
2019-08,1,213
2019-09,1,214
2019-10,2,216
2019-11,1,217
2020-01,2,219
2020-03,1,220
2020-05,1,221
2020-09,3,224
2021-05,1,225
2021-08,1,226
2021-12,1,227
2022-06,1,228
2024-04,1,229
