Date,Monthly Value,Accumulated Value
2015-01,336,336
2015-02,2,338
2015-04,210,548
2015-07,954,1502
2015-08,751,2253
2015-09,58,2311
2015-10,132,2443
2015-12,1884,4327
2016-01,8012,12339
2016-02,800,13139
2016-03,124,13263
2016-04,18,13281
2016-05,121,13402
2016-06,64,13466
2016-07,58,13524
2016-08,386,13910
2016-09,167,14077
2016-10,169,14246
2016-11,650,14896
2016-12,352,15248
2017-03,1,15249
2017-05,74,15323
2017-06,2,15325
2017-07,12,15337
2017-08,67,15404
2017-09,74,15478
2017-10,5123,20601
2017-11,4466,25067
2017-12,12017,37084
2018-01,26002,63086
2018-02,2141,65227
2018-03,925,66152
2018-04,8,66160
2018-07,31,66191
2018-08,58,66249
2018-09,42,66291
2018-10,1086,67377
2018-11,140,67517
2018-12,6,67523
2019-01,4,67527
2019-03,277,67804
2019-04,468,68272
2019-06,181,68453
2019-07,20,68473
2019-08,100,68573
2019-09,31,68604
2019-10,41,68645
2019-11,18,68663
2020-01,2,68665
2020-02,21,68686
2020-03,4,68690
2020-05,4,68694
2020-09,294,68988
2021-05,155,69143
2021-06,21,69164
2021-08,18,69182
2021-12,4,69186
2022-06,30,69216
2024-04,11,69227
